r_m,L_minus_r_obs,L_minus_r_null_mean,L_minus_r_envelope_lo,L_minus_r_envelope_hi,outside_envelope
10.0,126.65,-2.49,-10.0,35.55,True
20.0,233.61,5.8,-20.0,58.89,True
30.0,397.29,16.65,-30.0,61.1,True
40.0,493.14,28.04,-40.0,71.8,True
50.0,577.85,37.77,-4.45,78.83,True
60.0,696.72,47.64,4.42,91.07,True
70.0,767.41,57.28,8.89,100.43,True
80.0,809.09,66.01,21.85,113.25,True
90.0,832.3,75.62,30.29,118.73,True
100.0,842.33,84.45,36.65,132.26,True
110.0,849.78,93.71,41.07,143.61,True
120.0,862.22,102.49,50.43,149.47,True
130.0,870.01,111.22,57.8,154.45,True
140.0,868.28,119.54,68.73,165.55,True
150.0,874.6,127.87,77.75,175.29,True
160.0,881.67,136.28,89.48,183.89,True
170.0,879.61,144.55,95.6,191.54,True
180.0,888.22,152.98,104.45,201.09,True
190.0,907.92,161.57,112.14,209.69,True
200.0,923.14,169.91,122.08,219.94,True
210.0,943.21,178.47,130.86,226.89,True
220.0,943.07,186.8,135.75,233.27,True
230.0,949.01,195.02,145.61,243.36,True
240.0,953.88,203.15,154.4,250.58,True
250.0,960.27,211.35,162.47,261.29,True
260.0,962.21,219.44,167.29,269.23,True
270.0,963.2,227.13,176.29,276.59,True
280.0,967.42,235.24,184.46,283.41,True
290.0,961.57,243.19,189.89,291.58,True
300.0,970.49,251.52,198.97,302.56,True
310.0,971.87,259.51,209.34,309.54,True
320.0,969.94,267.34,215.08,319.35,True
