group,question,family,label_a,label_b,f1_a,f1_b,delta_f1,precision_a,precision_b,recall_a,recall_b,n_detections_a,n_detections_b,p_value_raw,p_value_adj,significant,wins_a,losses_a,ties,n_tiles
1,PV vs consensus,confirmatory,Flash HIGH text 16-of-30 + PV,Flash HIGH text 26-of-30,0.8902,0.8141,0.0761,0.915,0.8337,0.8667,0.7954,412,415,0.0,0.0,***,52,27,408,487
1,PV vs consensus,confirmatory,Flash HIGH text 9-of-10 + PV,Flash HIGH text 9-of-10,0.8564,0.7968,0.0597,0.9574,0.8005,0.7747,0.7931,352,431,0.0,0.0,***,25,34,428,487
1,PV vs consensus,confirmatory,Flash HIGH text 4-of-5 + PV,Flash HIGH text 5-of-5,0.8641,0.7788,0.0853,0.9152,0.7976,0.8184,0.7609,389,415,0.0,0.0,***,45,30,412,487
1,PV verifier thinking,confirmatory,Flash HIGH text 4-of-5 + medium vf,Flash HIGH text 5-of-5,0.8592,0.7788,0.0803,0.8777,0.7976,0.8414,0.7609,417,415,0.0,0.0,***,49,27,411,487
1,PV vs consensus (image),confirmatory,Flash HIGH image 3-of-5 + PV,Flash HIGH image 3-of-5,0.7778,0.7269,0.0509,0.8005,0.6759,0.7563,0.7862,411,506,0.0004,0.0007,***,37,42,408,487
1,PV vs consensus (Pro),confirmatory,Pro HIGH text 3-of-5 + PV,Pro HIGH text 3-of-5,0.8491,0.8404,0.0087,0.9568,0.9183,0.7632,0.7747,347,367,0.258,0.3049,ns,20,30,437,487
1,PV on single-pass text,confirmatory,Text baseline + PV,Single-pass text 5-of-5,0.8142,0.544,0.2702,0.7888,0.3964,0.8414,0.8667,464,951,0.0,0.0,***,32,58,397,487
1,PV on single-pass image,confirmatory,Image baseline + PV,Single-pass text 5-of-5,0.7167,0.544,0.1727,0.6634,0.3964,0.7793,0.8667,511,951,0.0,0.0,***,30,79,378,487
2,Text vs image,confirmatory,Flash HIGH text 5-of-5,Flash HIGH image 3-of-5,0.7788,0.7269,0.0519,0.7976,0.6759,0.7609,0.7862,415,506,0.0143,0.0196,*,61,38,388,487
2,Text vs image (N=10),confirmatory,Flash HIGH text 9-of-10,Flash HIGH image 6-of-10,0.7968,0.7402,0.0565,0.8005,0.7186,0.7931,0.7632,431,462,0.0054,0.0078,**,63,30,394,487
2,Text vs image (MINIMAL),confirmatory,Flash MIN text 5-of-5,Flash MIN image 4-of-5,0.6397,0.6639,-0.0242,0.5329,0.608,0.8,0.731,653,523,0.3604,0.3904,ns,60,36,391,487
2,Text vs image (PV),confirmatory,Flash HIGH text 4-of-5 + PV,Flash HIGH image 3-of-5 + PV,0.8641,0.7778,0.0863,0.9152,0.8005,0.8184,0.7563,389,411,0.0,0.0,***,55,25,407,487
3,HIGH vs MINIMAL (text N=5),confirmatory,Flash HIGH text 5-of-5,Flash MIN text 5-of-5,0.7788,0.6397,0.1391,0.7976,0.5329,0.7609,0.8,415,653,0.0,0.0,***,34,44,409,487
3,HIGH vs MINIMAL (text N=10),confirmatory,Flash HIGH text 9-of-10,Flash MIN text 10-of-10,0.7968,0.6332,0.1636,0.8005,0.5625,0.7931,0.7241,431,560,0.0,0.0,***,48,22,417,487
3,HIGH vs MINIMAL (text N=30),confirmatory,Flash HIGH text 26-of-30,Flash MIN text 29-of-30,0.8141,0.6611,0.153,0.8337,0.6019,0.7954,0.7333,415,530,0.0,0.0,***,47,23,417,487
