order_index,tile_name,map_name,tier,verdict,mark_index,x_px,y_px,x_world,y_world,symbol,note,reviewed_at,pass_id
0,K-35-042-3_x672_y0.png,K-35-042-3,census,no_mounds,0,,,,,,,2026-09-06T00:39:29.152150+00:00,20260906T003929152164
0,K-35-042-3_x672_y0.png,K-35-042-3,census,mound,0,60.8,64.3,462557.25,4742063.64,Known (yellow) mound is NOT a mound — GT error,,2026-09-06T00:40:50.070938+00:00,20260906T004050070950
1,K-35-050-4_x3024_y1008.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T00:44:48.305188+00:00,20260906T004448305212
2,K-35-050-4_x2688_y672.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T00:45:09.867088+00:00,20260906T004509867101
3,K-35-050-4_x1008_y672.png,K-35-050-4,census,mound,0,362.8,382.0,321370.04,4702420.07,Hairy brown circle,,2026-09-06T00:45:38.596664+00:00,20260906T004538596679
4,K-35-050-4_x2688_y1008.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T00:45:56.950617+00:00,20260906T004556950628
5,K-35-050-4_x1344_y1008.png,K-35-050-4,census,mound,0,382.5,379.5,323152.65,4700748.72,Hairy brown circle,,2026-09-06T00:46:28.545044+00:00,20260906T004628545055
6,K-35-050-4_x1344_y1344.png,K-35-050-4,census,mound,0,382.6,43.5,323153.14,4700748.72,Hairy brown circle,,2026-09-06T00:47:08.902471+00:00,20260906T004708902483
6,K-35-050-4_x1344_y1344.png,K-35-050-4,census,mound,1,383,56.5,323155.15,4700683.57,Hairy brown circle,,2026-09-06T00:47:08.902576+00:00,20260906T004708902579
7,K-35-050-4_x1680_y1008.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T00:47:18.503077+00:00,20260906T004718503089
8,K-35-050-4_x1680_y1344.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T00:47:29.948711+00:00,20260906T004729948722
9,K-35-050-4_x2688_y1680.png,K-35-050-4,census,no_mounds,0,,,,,,,2026-09-06T00:47:49.165658+00:00,20260906T004749165676
