candidate_id,inherited_human_label,inherited_symbol_type,dist_m,verifier_probability,source_tile,centroid_x,centroid_y
3502,mound,burial_mound,0.61,1.0,K-35-076-2_x1680_y1344.png,406157.1179856225,4643620.249600018
2772,mound,burial_mound,0.92,0.4,K-35-055-3_x1680_y2016.png,508434.5541391613,4694311.661804087
2102,mound,trig_point_on_mound,1.02,0.95,K-35-076-2_x1344_y1008.png,404615.0211242413,4643867.880385875
266,not_mound,not_mound,1.15,0.95,K-35-053-1_x2688_y2016.png,431594.6556467844,4713205.962791209
3188,mound,bench_mark_on_mound,1.32,0.95,K-35-066-2_x3360_y2016.png,496664.47906863544,4674899.234162772
3380,not_mound,not_mound,1.45,0.15,K-35-075-1_x2688_y2352.png,347726.6362146272,4639150.912188796
2954,mound,burial_mound,1.75,1.0,K-35-064-2_Radnevo_4326_x3360_y672.png,413664.9627515562,4683567.793199738
377,mound,burial_mound,1.78,1.0,K-35-050-4_x3360_y3024.png,332020.30468730046,4690711.9770300435
822,not_mound,not_mound,1.9,0.2,K-35-063-3_Tatarevo_4326_x2688_y2016.png,349125.2010069139,4660348.763861032
2074,mound,burial_mound,1.94,1.0,K-35-076-1_x4032_y336.png,395619.0263410923,4648282.84404896
1263,mound,burial_mound,2.17,1.0,K-35-066-2_x1008_y1680.png,486078.7845863941,4676590.27157984
3479,not_mound,not_mound,2.2,1.0,K-35-076-1_x3360_y2688.png,393613.8981182926,4637231.295347527
1107,not_mound,not_mound,2.22,0.2,K-35-065-1_Radetski_4326_x336_y3360.png,419404.8040448496,4669845.074229452
3458,not_mound,not_mound,2.22,0.2,K-35-075-3_x1008_y3360.png,339275.6287744101,4614696.780204386
2318,mound,burial_mound,2.45,1.0,K-35-077-2_x0_y1008.png,438168.9703695882,4643982.68178614
2943,not_mound,not_mound,2.62,0.95,K-35-064-1_Sredets_4326_x2352_y3360.png,388199.28967898677,4670095.925814246
3466,not_mound,not_mound,2.67,0.3,K-35-075-4_x3696_y3024.png,373823.1853813212,4616091.111872832
3929,mound,burial_mound,2.87,0.2,K-35-067-1_x2352_y2016.png,512392.3131750889,4675475.96230964
3931,not_mound,not_mound,2.89,0.4,K-35-074-2_x2016_y336.png,323770.1165761467,4648919.836002946
2183,mound,burial_mound,2.95,1.0,K-35-076-3_x336_y336.png,377934.0035161985,4629843.078422361
2919,mound,burial_mound,3.56,1.0,K-35-063-1_Granit_4326_x1680_y1008.png,344511.4804142289,4683242.9245949825
2430,not_mound,not_mound,3.65,0.4,K-35-077-1_x2688_y0.png,431989.3609120035,4648670.390470737
2899,not_mound,not_mound,4.07,0.2,K-35-063-3_Tatarevo_4326_x2352_y2688.png,347397.78525364376,4655763.92872297
3905,mound,burial_mound,4.15,1.0,K-35-067-3_x3360_y0.png,516890.7485712149,4667178.478196994
1077,not_mound,not_mound,4.33,0.2,K-35-065-1_Radetski_4326_x0_y672.png,418348.96914948453,4683628.77182102
2320,mound,burial_mound,4.37,1.0,K-35-077-2_x0_y1008.png,437967.3876471606,4643272.690403586
177,mound,burial_mound,4.5,0.2,K-35-051-4_x672_y2016.png,359765.3266173606,4694958.473215463
706,mound,burial_mound,4.93,1.0,K-35-062-4_Asenovgrad_4326_x1344_y3024.png,320859.5082962848,4655265.452010407
1715,mound,burial_mound,5.6,0.95,K-35-074-3_x2016_y1344.png,302473.67860434024,4625876.188225554
3771,not_mound,not_mound,5.69,0.2,K-35-056-3_x3024_y3360.png,557267.6595827244,4688227.995982265
2998,not_mound,not_mound,5.8,0.4,K-35-065-1_Radetski_4326_x1344_y1680.png,424081.04704942147,4678282.605055629
1686,not_mound,not_mound,6.0,0.2,K-35-074-2_x3360_y3024.png,330867.60540834116,4635964.196605395
212,mound,burial_mound,6.07,1.0,K-35-051-3_x0_y3024.png,335901.8027107137,4691129.121851553
2235,not_mound,not_mound,6.26,0.15,K-35-077-1_x0_y336.png,418707.5128953202,4646942.938699029
