order_index,tile_name,map_name,tier,verdict,mark_index,x_px,y_px,x_world,y_world,symbol,note,reviewed_at,pass_id
0,K-35-050-4_x1344_y1008.png,K-35-050-4,final-check,no_mounds,0,,,,,,,2026-09-06T03:14:56.089241+00:00,20260906T031456089252
1,K-35-064-1_Sredets_4326_x672_y0.png,K-35-064-1_Sredets_4326,final-check,no_mounds,0,,,,,,,2026-09-06T03:15:11.277736+00:00,20260906T031511277749
2,K-35-063-1_Granit_4326_x1680_y3360.png,K-35-063-1_Granit_4326,final-check,no_mounds,0,,,,,,,2026-09-06T03:15:13.560520+00:00,20260906T031513560532
3,K-35-063-1_Granit_4326_x3024_y1344.png,K-35-063-1_Granit_4326,final-check,no_mounds,0,,,,,,,2026-09-06T03:15:15.972509+00:00,20260906T031515972521
4,K-35-063-1_Granit_4326_x0_y3360.png,K-35-063-1_Granit_4326,final-check,no_mounds,0,,,,,,,2026-09-06T03:15:18.746045+00:00,20260906T031518746057
5,K-35-063-2_Chirpan_4326_x3360_y672.png,K-35-063-2_Chirpan_4326,final-check,no_mounds,0,,,,,,,2026-09-06T03:15:20.575418+00:00,20260906T031520575429
6,K-35-063-2_Chirpan_4326_x1344_y1344.png,K-35-063-2_Chirpan_4326,final-check,no_mounds,0,,,,,,,2026-09-06T03:15:22.078499+00:00,20260906T031522078509
7,K-35-065-1_Radetski_4326_x1344_y672.png,K-35-065-1_Radetski_4326,final-check,no_mounds,0,,,,,,,2026-09-06T03:15:23.323111+00:00,20260906T031523323122
8,K-35-066-1_x1680_y336.png,K-35-066-1,final-check,no_mounds,0,,,,,,,2026-09-06T03:15:24.752196+00:00,20260906T031524752208
9,K-35-067-1_x3696_y2016.png,K-35-067-1,final-check,no_mounds,0,,,,,,,2026-09-06T03:15:27.150652+00:00,20260906T031527150664
10,K-35-075-1_x336_y1344.png,K-35-075-1,final-check,no_mounds,0,,,,,,,2026-09-06T03:15:28.692327+00:00,20260906T031528692339
11,K-35-077-3_x4032_y672.png,K-35-077-3,final-check,no_mounds,0,,,,,,,2026-09-06T03:15:30.592910+00:00,20260906T031530592920
12,K-35-077-3_x1680_y1344.png,K-35-077-3,final-check,no_mounds,0,,,,,,,2026-09-06T03:15:32.538760+00:00,20260906T031532538772
