candidate_id,n_configs,configs,x,y,source_tile
0,4,"image,t0.3,text-high,text-min",378823.8,4699638.2,K-35-052-3_x336_y1008.png
1,4,"image,t0.3,text-high,text-min",320658.8,4652076.0,K-35-062-4_Asenovgrad_4326_x1344_y3696.png
2,4,"image,t0.3,text-high,text-min",506446.4,4651685.9,K-35-067-3_x1008_y3024.png
3,4,"image,t0.3,text-high,text-min",359847.3,4637840.6,K-35-075-2_x1008_y2352.png
4,4,"image,t0.3,text-high,text-min",434350.2,4638239.1,K-35-077-1_x3360_y2016.png
5,4,"image,t0.3,text-high,text-min",325070.1,4632955.1,K-35-074-4_x2352_y0.png
6,4,"image,t0.3,text-high,text-min",430196.5,4614165.2,K-35-077-3_x2352_y3360.png
7,3,"image,text-high,text-min",462437.7,4739711.1,K-35-042-3_x672_y336.png
8,3,"t0.3,text-high,text-min",462539.8,4739594.8,K-35-042-3_x672_y336.png
9,3,"t0.3,text-high,text-min",462567.3,4739368.9,K-35-042-3_x672_y336.png
10,3,"image,text-high,text-min",479369.0,4727721.4,K-35-042-3_x4032_y2688.png
11,3,"t0.3,text-high,text-min",325938.7,4701366.0,K-35-050-4_x2016_y1008.png
12,3,"image,t0.3,text-high",355978.5,4689764.8,K-35-051-4_x0_y3024.png
13,3,"t0.3,text-high,text-min",407974.8,4705962.3,K-35-052-2_x2016_y3696.png
14,3,"image,t0.3,text-high",399304.9,4711645.8,K-35-052-2_x336_y2352.png
15,3,"t0.3,text-high,text-min",394154.9,4687729.3,K-35-052-3_x3360_y3696.png
16,3,"image,t0.3,text-high",379083.8,4701648.0,K-35-052-3_x336_y672.png
17,3,"t0.3,text-high,text-min",396935.8,4702415.7,K-35-052-3_x4032_y672.png
18,3,"image,text-high,text-min",425428.1,4713287.8,K-35-053-1_x1344_y2016.png
19,3,"t0.3,text-high,text-min",418965.3,4713272.1,K-35-053-1_x0_y2016.png
20,3,"t0.3,text-high,text-min",434582.7,4718100.2,K-35-053-1_x3024_y1008.png
21,3,"image,t0.3,text-high",436608.8,4718177.0,K-35-053-1_x3696_y1008.png
22,3,"t0.3,text-high,text-min",458639.9,4716758.3,K-35-053-2_x4032_y1344.png
23,3,"image,t0.3,text-high",473068.0,4718087.0,K-35-054-1_Straldzha_4326_x2688_y1008.png
24,3,"image,text-high,text-min",499462.0,4716120.2,K-35-054-2_Atolov_4326_x4032_y1344.png
25,3,"image,t0.3,text-high",468889.1,4686837.3,K-35-054-3_Yambol_x1680_y3696.png
26,3,"t0.3,text-high,text-min",490731.7,4718809.4,K-35-054-2_Atolov_4326_x2016_y672.png
27,3,"image,text-high,text-min",483734.5,4699164.9,K-35-054-4_Voynika_x672_y1008.png
28,3,"t0.3,text-high,text-min",508004.2,4705296.9,K-35-055-1_x1344_y3696.png
29,3,"image,t0.3,text-high",501713.9,4723023.2,K-35-055-1_x0_y0.png
30,3,"image,t0.3,text-high",521413.0,4718727.0,K-35-055-2_x0_y672.png
31,3,"image,t0.3,text-high",535966.1,4723039.9,K-35-055-2_x3024_y0.png
32,3,"image,t0.3,text-high",523025.0,4720241.0,K-35-055-2_x336_y672.png
33,3,"t0.3,text-high,text-min",540744.1,4722040.6,K-35-055-2_x4032_y0.png
34,3,"t0.3,text-high,text-min",500941.9,4691706.0,K-35-055-3_x0_y2688.png
35,3,"image,t0.3,text-high",528914.0,4686862.2,K-35-055-4_x1344_y3696.png
36,3,"image,text-high,text-min",503711.4,4721376.3,K-35-055-1_x672_y336.png
37,3,"image,text-high,text-min",320016.4,4652117.5,K-35-062-4_Asenovgrad_4326_x1008_y3696.png
38,3,"t0.3,text-high,text-min",320331.2,4668501.0,K-35-062-4_Asenovgrad_4326_x1344_y336.png
39,3,"image,t0.3,text-high",350373.4,4686313.7,K-35-063-1_Granit_4326_x3024_y336.png
40,3,"t0.3,text-high,text-min",352919.1,4672261.1,K-35-063-1_Granit_4326_x3696_y3024.png
41,3,"t0.3,text-high,text-min",340125.7,4664567.2,K-35-063-3_Tatarevo_4326_x1008_y1008.png
42,3,"image,text-high,text-min",352716.1,4663529.3,K-35-063-3_Tatarevo_4326_x3696_y1344.png
43,3,"image,t0.3,text-high",375135.6,4669602.5,K-35-063-2_Chirpan_4326_x3696_y3696.png
44,3,"t0.3,text-high,text-min",317844.1,4666328.9,K-35-062-4_Asenovgrad_4326_x672_y672.png
45,3,"t0.3,text-high,text-min",352725.0,4656212.2,K-35-063-3_Tatarevo_4326_x3696_y2688.png
46,3,"image,t0.3,text-high",366997.6,4654804.6,K-35-063-4_Skobelevo_4326_x2352_y2688.png
47,3,"image,t0.3,text-high",370190.8,4687920.5,K-35-063-2_Chirpan_4326_x2688_y0.png
48,3,"image,t0.3,text-high",376547.5,4669445.3,K-35-064-1_Sredets_4326_x0_y3696.png
49,3,"image,t0.3,text-high",376140.5,4654034.2,K-35-064-3_Dimitrovgrad_4326_x0_y3024.png
50,3,"image,text-high,text-min",398516.9,4663931.4,K-35-064-4_Galabovo_4326_x336_y1008.png
51,3,"image,t0.3,text-high",418324.6,4679436.8,K-35-065-1_Radetski_4326_x0_y1344.png
52,3,"image,text-high,text-min",456067.1,4686139.0,K-35-065-2_GManastir_4326_x3360_y0.png
53,3,"t0.3,text-high,text-min",389979.5,4687073.8,K-35-064-1_Sredets_4326_x2688_y0.png
54,3,"image,t0.3,text-high",443606.1,4666738.1,K-35-065-4_x1008_y0.png
55,3,"image,t0.3,text-high",420527.3,4658872.6,K-35-065-3_Glavan_4326_x672_y1680.png
56,3,"image,t0.3,text-high",452928.9,4652793.1,K-35-065-4_x2688_y3024.png
57,3,"t0.3,text-high,text-min",455109.7,4658310.0,K-35-065-4_x3360_y1680.png
58,3,"image,t0.3,text-high",458188.1,4655652.1,K-35-065-4_x3696_y2352.png
59,3,"image,text-high,text-min",452919.2,4649921.9,K-35-065-4_x2688_y3696.png
60,3,"image,t0.3,text-high",422727.6,4659571.5,K-35-065-3_Glavan_4326_x1008_y1680.png
61,3,"image,t0.3,text-high",535909.7,4668544.5,K-35-067-2_x3024_y3360.png
62,3,"image,t0.3,text-high",502964.1,4661021.9,K-35-067-3_x336_y1344.png
63,3,"t0.3,text-high,text-min",530181.1,4664168.6,K-35-067-4_x1680_y672.png
64,3,"image,t0.3,text-high",532378.4,4658589.6,K-35-067-4_x2016_y1680.png
65,3,"t0.3,text-high,text-min",531614.4,4652745.1,K-35-067-4_x2016_y3024.png
66,3,"image,text-high,text-min",318517.0,4648714.1,K-35-074-2_x1008_y336.png
67,3,"t0.3,text-high,text-min",520176.6,4661216.2,K-35-067-3_x4032_y1344.png
