candidate_id,verifier_probability,human_label,symbol_type,source_tile,map_name,x,y,timestamp
30,1.0,mound,burial_mound,K-35-042-3_x2352_y1680.png,K-35-042-3,471392.99448250973,4732258.181739734,2026-04-20T03:36:28.669036+00:00
84,1.0,mound,burial_mound,K-35-050-4_x1680_y1008.png,K-35-050-4,323106.53237131215,4700775.938550783,2026-04-20T03:36:41.098596+00:00
98,1.0,mound,bench_mark_on_mound,K-35-050-4_x1344_y3024.png,K-35-050-4,322773.2240453985,4690851.367254358,2026-04-20T03:36:46.110758+00:00
166,1.0,not_mound,not_mound,K-35-050-4_x3024_y1008.png,K-35-050-4,331061.56367937755,4702423.729949675,2026-04-20T03:39:12.434447+00:00
204,1.0,mound,burial_mound,K-35-050-4_x3696_y3696.png,K-35-050-4,334922.62955670524,4688981.064591573,2026-04-20T03:39:16.589219+00:00
206,1.0,mound,bench_mark_on_mound,K-35-050-4_x336_y2016.png,K-35-050-4,317408.76748593326,4695883.572009799,2026-04-20T03:39:19.630835+00:00
236,1.0,mound,burial_mound,K-35-050-4_x672_y336.png,K-35-050-4,319302.38089043275,4705077.372747967,2026-04-20T03:39:21.361499+00:00
237,1.0,mound,burial_mound,K-35-050-4_x672_y336.png,K-35-050-4,319478.0367622047,4704163.861462545,2026-04-20T03:39:23.458471+00:00
347,1.0,mound,burial_mound,K-35-051-3_x1680_y672.png,K-35-051-3,345243.28310748265,4703553.001679169,2026-04-20T03:39:25.045026+00:00
367,1.0,not_mound,not_mound,K-35-051-3_x3024_y1344.png,K-35-051-3,352126.74271345965,4698656.55637447,2026-04-20T03:39:29.866467+00:00
374,1.0,mound,burial_mound,K-35-051-3_x336_y1680.png,K-35-051-3,337062.19215373974,4698737.452332822,2026-04-20T03:39:31.099748+00:00
385,1.0,mound,burial_mound,K-35-051-3_x4032_y2016.png,K-35-051-3,355333.2840596961,4695696.970738536,2026-04-20T03:39:32.043788+00:00
400,1.0,mound,burial_mound,K-35-051-3_x3696_y3360.png,K-35-051-3,354713.33956092864,4688623.918231599,2026-04-20T03:39:32.743620+00:00
401,1.0,mound,bench_mark_on_mound,K-35-051-3_x3696_y3360.png,K-35-051-3,355316.6299741219,4688631.096543245,2026-04-20T03:39:34.964908+00:00
497,1.0,mound,bench_mark_on_mound,K-35-051-4_x0_y2016.png,K-35-051-4,357582.7392247167,4696080.246132693,2026-04-20T03:39:36.040641+00:00
500,1.0,mound,burial_mound,K-35-051-4_x2352_y1680.png,K-35-051-4,367533.1201784739,4696901.537218559,2026-04-20T03:39:37.497609+00:00
515,1.0,mound,burial_mound,K-35-051-4_x2016_y2352.png,K-35-051-4,366615.1972534234,4693256.099706929,2026-04-20T03:39:39.217405+00:00
522,1.0,not_mound,not_mound,K-35-051-4_x3024_y3360.png,K-35-051-4,372414.01741794293,4689452.979362906,2026-04-20T03:39:42.480189+00:00
622,1.0,mound,burial_mound,K-35-052-2_x1680_y336.png,K-35-052-2,406793.1730129636,4722021.437028215,2026-04-20T03:39:45.423958+00:00
633,1.0,mound,burial_mound,K-35-052-2_x2352_y3360.png,K-35-052-2,409017.97868179437,4706633.827691342,2026-04-20T03:39:49.303792+00:00
645,1.0,not_mound,not_mound,K-35-052-2_x3024_y2352.png,K-35-052-2,412370.793470577,4711047.949604375,2026-04-20T03:39:53.536177+00:00
671,1.0,not_mound,not_mound,K-35-052-2_x336_y1680.png,K-35-052-2,399578.43494437315,4715303.6210801145,2026-04-20T03:39:56.761357+00:00
687,1.0,not_mound,not_mound,K-35-052-2_x672_y1344.png,K-35-052-2,402416.6156360575,4716982.894059232,2026-04-20T03:39:58.298479+00:00
698,1.0,not_mound,not_mound,K-35-052-3_x0_y3360.png,K-35-052-3,378064.514906411,4688167.74232396,2026-04-20T03:40:00.747516+00:00
704,1.0,not_mound,not_mound,K-35-052-3_x1344_y0.png,K-35-052-3,383399.9047075744,4705515.177849539,2026-04-20T03:40:04.517117+00:00
716,1.0,mound,burial_mound,K-35-052-3_x1008_y1680.png,K-35-052-3,381836.0374423175,4696124.339701466,2026-04-20T03:40:06.840206+00:00
724,1.0,mound,burial_mound,K-35-052-3_x2016_y2016.png,K-35-052-3,387619.14393223065,4694363.049458885,2026-04-20T03:40:07.745540+00:00
748,1.0,mound,burial_mound,K-35-052-3_x2352_y3024.png,K-35-052-3,389508.90097405436,4691093.008204438,2026-04-20T03:40:09.117615+00:00
775,1.0,mound,burial_mound,K-35-052-3_x3024_y1344.png,K-35-052-3,393289.4253472172,4698141.188824336,2026-04-20T03:40:10.418687+00:00
795,1.0,mound,burial_mound,K-35-052-3_x3024_y1008.png,K-35-052-3,393248.2555740763,4700334.7034220155,2026-04-20T03:40:11.351666+00:00
814,1.0,mound,burial_mound,K-35-052-3_x3696_y2352.png,K-35-052-3,396168.68863904045,4693949.11698801,2026-04-20T03:40:12.245459+00:00
824,1.0,mound,burial_mound,K-35-052-3_x672_y2352.png,K-35-052-3,380800.5072677459,4694016.4465884585,2026-04-20T03:40:13.217253+00:00
831,1.0,mound,burial_mound,K-35-052-3_x672_y3360.png,K-35-052-3,381124.6148781666,4688537.227368079,2026-04-20T03:40:15.041723+00:00
838,1.0,mound,burial_mound,K-35-052-3_x1008_y3024.png,K-35-052-3,381530.0148230443,4689569.203935192,2026-04-20T03:40:15.866255+00:00
845,1.0,mound,burial_mound,K-35-052-3_x3696_y336.png,K-35-052-3,396656.1141041704,4703780.396851235,2026-04-20T03:40:16.601283+00:00
920,1.0,mound,settlement_mound,K-35-053-1_x3360_y2688.png,K-35-053-1,436231.0559158191,4709034.053435314,2026-04-20T03:42:40.560269+00:00
922,1.0,mound,settlement_mound,K-35-053-1_x2688_y672.png,K-35-053-1,432985.7789808355,4720493.404918006,2026-04-20T03:42:46.015199+00:00
923,1.0,not_mound,not_mound,K-35-053-1_x2688_y672.png,K-35-053-1,432918.23960786394,4719097.018740962,2026-04-20T03:42:50.077270+00:00
927,1.0,mound,settlement_mound,K-35-053-1_x3024_y672.png,K-35-053-1,432966.60493133863,4720579.655912819,2026-04-20T03:42:56.061453+00:00
930,1.0,mound,burial_mound,K-35-053-1_x3696_y672.png,K-35-053-1,437346.72638824634,4719372.444841816,2026-04-20T03:43:00.321422+00:00
1042,1.0,not_mound,not_mound,K-35-053-2_x3360_y3024.png,K-35-053-2,455860.9856005954,4708056.725382948,2026-04-20T03:43:11.451195+00:00
1068,1.0,mound,trig_point_on_mound,K-35-053-2_x3696_y1008.png,K-35-053-2,457709.73337463336,4717457.258676877,2026-04-20T03:43:14.689233+00:00
1088,1.0,not_mound,not_mound,K-35-053-4_Boyadzhik_x0_y3360.png,K-35-053-4_Boyadzhik,439683.09960020066,4686974.462093553,2026-04-20T03:45:21.541383+00:00
1124,1.0,mound,burial_mound,K-35-053-4_Boyadzhik_x2016_y1680.png,K-35-053-4_Boyadzhik,450040.6978114796,4695755.824969088,2026-04-20T03:45:24.822035+00:00
1143,1.0,mound,trig_point_on_mound,K-35-053-4_Boyadzhik_x2352_y1344.png,K-35-053-4_Boyadzhik,450645.2215364243,4696998.765937169,2026-04-20T03:45:27.011736+00:00
1164,1.0,mound,trig_point_on_mound,K-35-053-4_Boyadzhik_x3360_y1344.png,K-35-053-4_Boyadzhik,455341.3977321744,4697354.041035663,2026-04-20T03:45:27.887877+00:00
1176,1.0,mound,bench_mark_on_mound,K-35-053-4_Boyadzhik_x3024_y1680.png,K-35-053-4_Boyadzhik,455123.61662045884,4695582.095242037,2026-04-20T03:45:29.474043+00:00
1190,1.0,mound,trig_point_on_mound,K-35-053-4_Boyadzhik_x3696_y2688.png,K-35-053-4_Boyadzhik,457442.6044936776,4690334.011143757,2026-04-20T03:45:30.491110+00:00
1199,1.0,mound,burial_mound,K-35-053-4_Boyadzhik_x672_y1344.png,K-35-053-4_Boyadzhik,442074.37181953085,4697093.551168434,2026-04-20T03:45:31.655938+00:00
1201,1.0,mound,burial_mound,K-35-054-1_Straldzha_4326_x0_y1344.png,K-35-054-1_Straldzha_4326,460426.6370351048,4716536.558886989,2026-04-20T03:45:32.916112+00:00
1213,1.0,mound,burial_mound,K-35-054-1_Straldzha_4326_x1344_y2352.png,K-35-054-1_Straldzha_4326,465643.4061844662,4711429.345967141,2026-04-20T03:45:33.549734+00:00
1223,1.0,mound,burial_mound,K-35-054-1_Straldzha_4326_x1344_y3360.png,K-35-054-1_Straldzha_4326,467206.78147132654,4706933.8168589715,2026-04-20T03:45:34.569036+00:00
1224,1.0,mound,settlement_mound,K-35-054-1_Straldzha_4326_x0_y672.png,K-35-054-1_Straldzha_4326,460046.84205393825,4719065.668320128,2026-04-20T03:45:38.038846+00:00
1226,1.0,mound,burial_mound,K-35-054-1_Straldzha_4326_x1680_y2688.png,K-35-054-1_Straldzha_4326,467964.3762537708,4708703.624971476,2026-04-20T03:45:41.146583+00:00
1249,1.0,mound,burial_mound,K-35-054-1_Straldzha_4326_x1680_y672.png,K-35-054-1_Straldzha_4326,467142.63620086137,4720511.649083688,2026-04-20T03:45:42.039917+00:00
