item_id,student_label,vlm_label,vlm_probability,map_name,category,x,y,posterior_p_true,latent_truth
0,1,1,1.0,K-35-042-3,matched,475200.3600689111,4733954.1500075795,1.0,1
1,1,1,1.0,K-35-042-3,matched,473260.54706303676,4728841.7939448785,1.0,1
2,1,1,0.95,K-35-042-3,matched,467949.43374018534,4739789.2425672375,1.0,1
3,1,1,1.0,K-35-042-3,matched,471913.23500985187,4740670.140927327,1.0,1
4,1,1,0.95,K-35-042-3,matched,474131.78705109406,4733325.047822695,1.0,1
5,1,1,1.0,K-35-042-3,matched,471410.92726534203,4732276.433420524,1.0,1
6,1,1,0.75,K-35-042-3,matched,477900.4137411779,4734104.090596268,1.0,1
7,1,1,0.95,K-35-042-3,matched,471623.2764711977,4725878.8400786435,1.0,1
8,1,1,1.0,K-35-042-3,matched,474975.9989496921,4741574.176338952,1.0,1
9,1,1,0.95,K-35-042-3,matched,475594.90346877143,4741161.126786773,1.0,1
10,1,1,1.0,K-35-042-3,matched,463761.70566996787,4742328.048168725,1.0,1
11,1,1,0.85,K-35-042-3,matched,462544.64508066163,4742254.581180256,1.0,1
12,1,0,0.0,K-35-042-3,student_only,462577.43246416026,4742015.149192861,1.0,1
13,1,0,0.0,K-35-042-3,student_only,473627.68566049956,4742088.299883381,1.0,1
14,1,0,0.0,K-35-042-3,student_only,477654.01196866477,4735993.517574452,1.0,1
15,1,0,0.0,K-35-042-3,student_only,466440.16894194135,4731621.483272956,1.0,1
16,1,0,0.0,K-35-042-3,student_only,466477.4460256086,4726719.319325663,1.0,1
17,1,0,0.0,K-35-042-3,student_only,471525.13216302125,4725567.0107172225,1.0,1
18,0,1,0.2,K-35-042-3,vlm_only,477820.03356336924,4729653.891919007,0.22691377667123858,0
19,0,1,0.95,K-35-042-3,vlm_only,477830.7127101921,4727160.367946734,0.22691377667123858,0
20,0,1,0.95,K-35-042-3,vlm_only,462561.87200298795,4742064.034365583,0.22691377667123858,0
21,0,1,1.0,K-35-042-3,vlm_only,462648.6819484489,4737629.2997435555,0.22691377667123858,0
22,0,1,1.0,K-35-042-3,vlm_only,463644.2268550672,4723889.101364521,0.22691377667123858,0
23,0,1,0.85,K-35-042-3,vlm_only,462100.5645009438,4725812.022521791,0.22691377667123858,0
24,1,1,0.95,K-35-050-4,matched,320143.61154094164,4691650.613448794,1.0,1
25,1,1,0.95,K-35-050-4,matched,319775.57105540653,4705040.73072581,1.0,1
26,1,1,1.0,K-35-050-4,matched,319931.2484700064,4693217.866643624,1.0,1
27,1,1,1.0,K-35-050-4,matched,323160.95717355236,4700745.4882800365,1.0,1
28,1,1,1.0,K-35-050-4,matched,323160.5301721671,4700689.388973522,1.0,1
29,1,1,0.2,K-35-050-4,matched,320069.1604361461,4701988.290722269,1.0,1
30,1,1,1.0,K-35-050-4,matched,322891.25058980077,4700252.595723517,1.0,1
31,1,1,0.95,K-35-050-4,matched,321293.0079194097,4699526.331505898,1.0,1
32,1,1,1.0,K-35-050-4,matched,322381.1026724585,4699753.770283799,1.0,1
33,1,1,1.0,K-35-050-4,matched,321945.95928053185,4699384.177653517,1.0,1
34,1,1,0.85,K-35-050-4,matched,325231.40058321215,4695690.442335113,1.0,1
35,1,1,0.95,K-35-050-4,matched,324877.985206321,4694983.72041179,1.0,1
36,1,1,0.95,K-35-050-4,matched,324873.7458319899,4694710.589471758,1.0,1
37,1,1,0.95,K-35-050-4,matched,325684.42879970936,4694432.207277655,1.0,1
38,1,1,0.85,K-35-050-4,matched,320682.1220865281,4700190.116672217,1.0,1
39,1,1,0.95,K-35-050-4,matched,321108.7638019527,4699459.992945499,1.0,1
40,1,1,0.85,K-35-050-4,matched,326353.9407484954,4699138.069783447,1.0,1
41,1,1,1.0,K-35-050-4,matched,328000.44761701574,4697548.520094759,1.0,1
42,1,1,1.0,K-35-050-4,matched,326055.6717417816,4689871.506856194,1.0,1
43,1,1,1.0,K-35-050-4,matched,326338.8695845064,4689714.833133687,1.0,1
44,1,1,1.0,K-35-050-4,matched,324539.4575854655,4695669.424223484,1.0,1
45,1,1,1.0,K-35-050-4,matched,324026.2050487352,4695240.1395003535,1.0,1
46,1,1,0.85,K-35-050-4,matched,326343.16316834337,4704199.816826731,1.0,1
47,1,1,0.85,K-35-050-4,matched,327220.79690122034,4704163.658000436,1.0,1
48,1,1,1.0,K-35-050-4,matched,315173.2443728897,4696856.038970566,1.0,1
49,1,1,0.95,K-35-050-4,matched,316341.66647650686,4696686.685487933,1.0,1
50,1,1,1.0,K-35-050-4,matched,315965.56510468805,4696351.497731684,1.0,1
51,1,1,1.0,K-35-050-4,matched,314808.4614711569,4695990.572920848,1.0,1
52,1,1,1.0,K-35-050-4,matched,329230.2287002837,4689086.836472506,1.0,1
53,1,1,1.0,K-35-050-4,matched,324886.16267720534,4698804.159663133,1.0,1
54,1,1,0.95,K-35-050-4,matched,325555.89593263087,4696261.018695312,1.0,1
55,1,1,0.4,K-35-050-4,matched,328109.81728080404,4696801.08209749,1.0,1
56,1,1,0.95,K-35-050-4,matched,332577.42140888533,4698145.267985623,1.0,1
57,1,1,1.0,K-35-050-4,matched,331917.46198057657,4701438.879040958,1.0,1
58,1,1,1.0,K-35-050-4,matched,331815.77002275945,4701337.002743387,1.0,1
59,1,1,1.0,K-35-050-4,matched,315764.58364193817,4700250.183641269,1.0,1
60,1,1,1.0,K-35-050-4,matched,329678.88082593016,4688844.173721447,1.0,1
61,1,1,1.0,K-35-050-4,matched,324786.7119730965,4692076.152873416,1.0,1
62,1,1,0.95,K-35-050-4,matched,319659.31820288615,4694610.994796123,1.0,1
63,1,1,1.0,K-35-050-4,matched,321191.73226297327,4694257.0522538405,1.0,1
64,1,1,0.2,K-35-050-4,matched,326936.15032704466,4705044.632865343,1.0,1
65,1,1,1.0,K-35-050-4,matched,330195.95538672176,4693307.7278615935,1.0,1
66,1,1,1.0,K-35-050-4,matched,317163.49290461396,4702755.515845864,1.0,1
67,1,1,0.4,K-35-050-4,matched,331371.3514672046,4690642.491067081,1.0,1
68,1,1,1.0,K-35-050-4,matched,330520.4606237896,4690311.741301342,1.0,1
69,1,1,0.95,K-35-050-4,matched,330451.54171343707,4689887.079404486,1.0,1
70,1,1,1.0,K-35-050-4,matched,330211.5322902935,4689541.87272173,1.0,1
71,1,1,0.2,K-35-050-4,matched,330014.4949722525,4689360.8573518535,1.0,1
72,1,1,0.85,K-35-050-4,matched,335012.8367949176,4699051.316827197,1.0,1
73,1,1,0.95,K-35-050-4,matched,327891.0703068316,4702115.052579428,1.0,1
74,1,1,1.0,K-35-050-4,matched,326316.7623371867,4700848.930071542,1.0,1
75,1,1,1.0,K-35-050-4,matched,334909.6174255044,4690435.394002196,1.0,1
76,1,1,1.0,K-35-050-4,matched,334459.9959992933,4689463.764532119,1.0,1
77,1,1,0.85,K-35-050-4,matched,334946.6956104931,4688965.116411405,1.0,1
78,1,1,0.85,K-35-050-4,matched,318882.9570495422,4697127.266919623,1.0,1
79,1,1,0.95,K-35-050-4,matched,318998.1430460604,4696992.021222071,1.0,1
80,1,1,0.95,K-35-050-4,matched,318854.0554948226,4696252.722112443,1.0,1
81,1,1,0.95,K-35-050-4,matched,332580.2678097262,4699161.494621648,1.0,1
82,1,1,1.0,K-35-050-4,matched,330095.2710141275,4688931.628272515,1.0,1
83,1,1,1.0,K-35-050-4,matched,331063.46391991904,4702222.563955236,1.0,1
84,1,1,1.0,K-35-050-4,matched,330815.1646451917,4701916.348840114,1.0,1
85,1,1,1.0,K-35-050-4,matched,329928.2487408565,4701465.016134257,1.0,1
86,1,1,0.85,K-35-050-4,matched,330314.5222343308,4701383.243859315,1.0,1
87,1,1,0.95,K-35-050-4,matched,330396.16078440053,4701364.906173074,1.0,1
88,1,1,0.95,K-35-050-4,matched,330477.738286649,4701330.49005995,1.0,1
89,1,1,0.95,K-35-050-4,matched,330734.55487058405,4701252.284198953,1.0,1
90,1,1,0.95,K-35-050-4,matched,331252.5018795128,4701297.610033629,1.0,1
91,1,1,1.0,K-35-050-4,matched,318847.7774342038,4699140.711163521,1.0,1
92,1,1,1.0,K-35-050-4,matched,318807.30689945456,4698236.071441445,1.0,1
93,1,1,1.0,K-35-050-4,matched,335171.3191251686,4700023.110114702,1.0,1
