condition_id,run_id,label,stratum_id,corpus,reference,buffer_m,frame_id,n_tiles,n_refs,is_primary_buffer,geometry,tile_px,overlap_px,stride_px,geometry_basis,modality,thinking,temperature,model_used,architecture,aggregation,proposer_pool,K,N,prob_t,min_votes,verified,verifier_variant,basis,F1,F1_CI_lo,F1_CI_hi,ci_method,ci_unreliable,precision,recall,MCC,sensitivity,specificity,tile_TP,tile_TN,tile_FP,tile_FN,n_detections,cost_usd,cost_basis,metrics_source,eval_path,detections_path,reference_path,reference_basis,reference_consumed_path,notes
55maps-generalisation::verified-paired,55maps-generalisation,verified-paired,55-map|student|5m|55maps-8541,55-map,student,5,55maps-8541,8541,4746,false,,384,,,run-facts-tile-size,text,high,0.7,gemini-3-flash-preview,proposer-verifier,verified,detect_brief-text,5,5,,4,true,v1,,0.0796,0.0718,0.0883,BCa,false,0.0863,0.074,0.6509,0.6374,0.9585,2155,4946,214,1226,4068,0.033927,runner-estimator (passes-manifest cost_usd; sum over N=5 proposer passes; NOT the § 8 audited basis),conditions-manifest,results/rescore-2026-05-31/55maps-generalisation/verified-paired/evaluation.json,outputs/55maps-generalisation/verified/verified_detections_paired.geojson,inputs/vectors/references/student-mounds-55maps-reviewed.geojson,eval-ground-truth,,
55maps-generalisation::verified-paired,55maps-generalisation,verified-paired,55-map|student|10m|55maps-8541,55-map,student,10,55maps-8541,8541,4746,false,,384,,,run-facts-tile-size,text,high,0.7,gemini-3-flash-preview,proposer-verifier,verified,detect_brief-text,5,5,,4,true,v1,,0.2662,0.2524,0.2807,BCa,false,0.2883,0.2472,0.6509,0.6374,0.9585,2155,4946,214,1226,4068,0.033927,runner-estimator (passes-manifest cost_usd; sum over N=5 proposer passes; NOT the § 8 audited basis),conditions-manifest,results/rescore-2026-05-31/55maps-generalisation/verified-paired/evaluation.json,outputs/55maps-generalisation/verified/verified_detections_paired.geojson,inputs/vectors/references/student-mounds-55maps-reviewed.geojson,eval-ground-truth,,
55maps-generalisation::verified-paired,55maps-generalisation,verified-paired,55-map|student|15m|55maps-8541,55-map,student,15,55maps-8541,8541,4746,false,,384,,,run-facts-tile-size,text,high,0.7,gemini-3-flash-preview,proposer-verifier,verified,detect_brief-text,5,5,,4,true,v1,,0.4724,0.4571,0.488,BCa,false,0.5118,0.4387,0.6509,0.6374,0.9585,2155,4946,214,1226,4068,0.033927,runner-estimator (passes-manifest cost_usd; sum over N=5 proposer passes; NOT the § 8 audited basis),conditions-manifest,results/rescore-2026-05-31/55maps-generalisation/verified-paired/evaluation.json,outputs/55maps-generalisation/verified/verified_detections_paired.geojson,inputs/vectors/references/student-mounds-55maps-reviewed.geojson,eval-ground-truth,,
55maps-generalisation::verified-paired,55maps-generalisation,verified-paired,55-map|student|20m|55maps-8541,55-map,student,20,55maps-8541,8541,4746,false,,384,,,run-facts-tile-size,text,high,0.7,gemini-3-flash-preview,proposer-verifier,verified,detect_brief-text,5,5,,4,true,v1,,0.6254,0.6106,0.64,BCa,false,0.6775,0.5807,0.6509,0.6374,0.9585,2155,4946,214,1226,4068,0.033927,runner-estimator (passes-manifest cost_usd; sum over N=5 proposer passes; NOT the § 8 audited basis),conditions-manifest,results/rescore-2026-05-31/55maps-generalisation/verified-paired/evaluation.json,outputs/55maps-generalisation/verified/verified_detections_paired.geojson,inputs/vectors/references/student-mounds-55maps-reviewed.geojson,eval-ground-truth,,
55maps-generalisation::verified-paired,55maps-generalisation,verified-paired,55-map|student|25m|55maps-8541,55-map,student,25,55maps-8541,8541,4746,false,,384,,,run-facts-tile-size,text,high,0.7,gemini-3-flash-preview,proposer-verifier,verified,detect_brief-text,5,5,,4,true,v1,,0.71,0.6966,0.7228,BCa,false,0.7692,0.6593,0.6509,0.6374,0.9585,2155,4946,214,1226,4068,0.033927,runner-estimator (passes-manifest cost_usd; sum over N=5 proposer passes; NOT the § 8 audited basis),conditions-manifest,results/rescore-2026-05-31/55maps-generalisation/verified-paired/evaluation.json,outputs/55maps-generalisation/verified/verified_detections_paired.geojson,inputs/vectors/references/student-mounds-55maps-reviewed.geojson,eval-ground-truth,,
55maps-generalisation::verified-paired,55maps-generalisation,verified-paired,55-map|student|30m|55maps-8541,55-map,student,30,55maps-8541,8541,4746,false,,384,,,run-facts-tile-size,text,high,0.7,gemini-3-flash-preview,proposer-verifier,verified,detect_brief-text,5,5,,4,true,v1,,0.7574,0.7452,0.769,BCa,false,0.8206,0.7033,0.6509,0.6374,0.9585,2155,4946,214,1226,4068,0.033927,runner-estimator (passes-manifest cost_usd; sum over N=5 proposer passes; NOT the § 8 audited basis),conditions-manifest,results/rescore-2026-05-31/55maps-generalisation/verified-paired/evaluation.json,outputs/55maps-generalisation/verified/verified_detections_paired.geojson,inputs/vectors/references/student-mounds-55maps-reviewed.geojson,eval-ground-truth,,
55maps-generalisation::verified-paired,55maps-generalisation,verified-paired,55-map|student|35m|55maps-8541,55-map,student,35,55maps-8541,8541,4746,false,,384,,,run-facts-tile-size,text,high,0.7,gemini-3-flash-preview,proposer-verifier,verified,detect_brief-text,5,5,,4,true,v1,,0.7772,0.7655,0.7883,BCa,false,0.8419,0.7217,0.6509,0.6374,0.9585,2155,4946,214,1226,4068,0.033927,runner-estimator (passes-manifest cost_usd; sum over N=5 proposer passes; NOT the § 8 audited basis),conditions-manifest,results/rescore-2026-05-31/55maps-generalisation/verified-paired/evaluation.json,outputs/55maps-generalisation/verified/verified_detections_paired.geojson,inputs/vectors/references/student-mounds-55maps-reviewed.geojson,eval-ground-truth,,
55maps-generalisation::verified-paired,55maps-generalisation,verified-paired,55-map|student|40m|55maps-8541,55-map,student,40,55maps-8541,8541,4746,false,,384,,,run-facts-tile-size,text,high,0.7,gemini-3-flash-preview,proposer-verifier,verified,detect_brief-text,5,5,,4,true,v1,,0.7856,0.7741,0.7964,BCa,false,0.851,0.7295,0.6509,0.6374,0.9585,2155,4946,214,1226,4068,0.033927,runner-estimator (passes-manifest cost_usd; sum over N=5 proposer passes; NOT the § 8 audited basis),conditions-manifest,results/rescore-2026-05-31/55maps-generalisation/verified-paired/evaluation.json,outputs/55maps-generalisation/verified/verified_detections_paired.geojson,inputs/vectors/references/student-mounds-55maps-reviewed.geojson,eval-ground-truth,,
55maps-generalisation::verified-paired,55maps-generalisation,verified-paired,55-map|student|45m|55maps-8541,55-map,student,45,55maps-8541,8541,4746,false,,384,,,run-facts-tile-size,text,high,0.7,gemini-3-flash-preview,proposer-verifier,verified,detect_brief-text,5,5,,4,true,v1,,0.7901,0.7788,0.8008,BCa,false,0.8559,0.7337,0.6509,0.6374,0.9585,2155,4946,214,1226,4068,0.033927,runner-estimator (passes-manifest cost_usd; sum over N=5 proposer passes; NOT the § 8 audited basis),conditions-manifest,results/rescore-2026-05-31/55maps-generalisation/verified-paired/evaluation.json,outputs/55maps-generalisation/verified/verified_detections_paired.geojson,inputs/vectors/references/student-mounds-55maps-reviewed.geojson,eval-ground-truth,,
55maps-generalisation::verified-paired,55maps-generalisation,verified-paired,55-map|student|50m|55maps-8541,55-map,student,50,55maps-8541,8541,4746,true,,384,,,run-facts-tile-size,text,high,0.7,gemini-3-flash-preview,proposer-verifier,verified,detect_brief-text,5,5,,4,true,v1,,0.7921,0.7809,0.8027,BCa,false,0.8582,0.7356,0.6509,0.6374,0.9585,2155,4946,214,1226,4068,0.033927,runner-estimator (passes-manifest cost_usd; sum over N=5 proposer passes; NOT the § 8 audited basis),conditions-manifest,results/rescore-2026-05-31/55maps-generalisation/verified-paired/evaluation.json,outputs/55maps-generalisation/verified/verified_detections_paired.geojson,inputs/vectors/references/student-mounds-55maps-reviewed.geojson,eval-ground-truth,,
