candidate_id,verifier_probability,human_label,symbol_type,source_tile,map_name,x,y,buffer_metres,timestamp
21,0.15,not_mound,not_mound,K-35-042-3_x1008_y1344.png,K-35-042-3,465820.1713851963,4734479.334108326,,2026-04-28T00:47:22.800960+00:00
82,0.2,not_mound,not_mound,K-35-050-4_x2352_y1344.png,K-35-050-4,327806.22721803724,4699949.416343376,,2026-04-28T00:43:39.166297+00:00
117,0.95,mound,burial_mound,K-35-042-3_x3696_y2688.png,K-35-042-3,477832.82632055087,4727155.364212833,50.0,2026-04-28T00:28:31.080695+00:00
129,0.95,mound,burial_mound,K-35-050-4_x2016_y2016.png,K-35-050-4,325203.12837739143,4695719.236286511,50.0,2026-04-28T00:28:32.125711+00:00
185,0.3,not_mound,not_mound,K-35-042-3_x336_y3360.png,K-35-042-3,460883.4376806355,4724084.36680598,,2026-04-28T00:43:21.911734+00:00
271,0.2,not_mound,not_mound,K-35-050-4_x1008_y3024.png,K-35-050-4,321427.78829530487,4691019.88947034,,2026-04-28T00:43:40.621218+00:00
276,0.2,not_mound,not_mound,K-35-042-3_x3696_y2352.png,K-35-042-3,477815.8491958707,4729651.240283622,,2026-04-28T00:43:41.941832+00:00
304,0.85,mound,burial_mound,K-35-051-3_x0_y3024.png,K-35-051-3,335899.1037896697,4691122.963340342,75.0,2026-04-28T00:31:25.659300+00:00
314,0.15,mound,burial_mound,K-35-051-3_x0_y2016.png,K-35-051-3,336292.2605973195,4696954.682200305,75.0,2026-04-28T00:47:26.088846+00:00
340,0.4,not_mound,not_mound,K-35-051-3_x2016_y3360.png,K-35-051-3,346434.1458370141,4688574.307498121,,2026-04-28T00:33:43.712754+00:00
354,0.75,mound,burial_mound,K-35-050-4_x3360_y3024.png,K-35-050-4,332020.2620649174,4690710.200353565,200.0,2026-04-28T00:32:56.330686+00:00
425,0.2,not_mound,not_mound,K-35-051-3_x2016_y2016.png,K-35-051-3,346153.52226910135,4696205.704870058,,2026-04-28T00:43:43.321516+00:00
456,0.95,mound,burial_mound,K-35-051-3_x336_y1680.png,K-35-051-3,338643.0660428531,4698645.977509719,50.0,2026-04-28T00:28:33.092551+00:00
513,1.0,not_mound,not_mound,K-35-051-3_x2688_y3696.png,K-35-051-3,349028.88309450983,4688401.493414773,,2026-04-27T21:32:22.915665+00:00
518,0.4,not_mound,not_mound,K-35-051-3_x3024_y3360.png,K-35-051-3,350540.18981165363,4688712.0320740035,,2026-04-28T00:33:45.655035+00:00
593,0.8,not_mound,not_mound,K-35-051-3_x672_y2016.png,K-35-051-3,340192.7798064472,4696075.2495069755,,2026-04-28T00:32:41.394755+00:00
594,0.2,not_mound,not_mound,K-35-051-3_x672_y2016.png,K-35-051-3,340202.4400451055,4695878.269614179,,2026-04-28T00:43:44.801228+00:00
648,0.15,not_mound,not_mound,K-35-051-4_x3360_y2352.png,K-35-051-4,373435.2883762966,4693715.209186809,,2026-04-28T00:47:28.055159+00:00
654,0.15,not_mound,not_mound,K-35-051-4_x3696_y2352.png,K-35-051-4,375558.11527957686,4693223.045843927,,2026-04-28T00:47:38.573795+00:00
662,0.85,not_mound,not_mound,K-35-051-4_x336_y2352.png,K-35-051-4,358367.93567359913,4694451.53424897,,2026-04-28T00:31:27.921344+00:00
695,0.85,not_mound,not_mound,K-35-052-2_x0_y2688.png,K-35-052-2,397997.2418701039,4710401.105683466,,2026-04-28T00:31:29.803929+00:00
699,0.2,not_mound,not_mound,K-35-051-4_x672_y2016.png,K-35-051-4,359786.0592763623,4694957.613093762,,2026-04-28T00:43:46.491472+00:00
759,0.15,not_mound,not_mound,K-35-052-2_x2016_y336.png,K-35-052-2,407599.8388094046,4721420.672087832,,2026-04-28T00:47:39.951204+00:00
794,0.2,not_mound,not_mound,K-35-052-2_x3024_y1008.png,K-35-052-2,413808.6821734498,4718490.36168257,,2026-04-28T00:43:48.245149+00:00
799,0.85,mound,settlement_mound,K-35-052-2_x2688_y3024.png,K-35-052-2,410767.1967166581,4708193.344938189,50.0,2026-04-28T00:31:32.493946+00:00
814,0.2,not_mound,not_mound,K-35-052-2_x3360_y2352.png,K-35-052-2,415163.69352022285,4712243.84659557,,2026-04-28T00:43:49.572720+00:00
816,0.4,not_mound,not_mound,K-35-052-2_x3360_y2352.png,K-35-052-2,414414.27035299724,4712038.688143069,,2026-04-28T00:33:48.009470+00:00
818,1.0,not_mound,not_mound,K-35-052-2_x336_y1680.png,K-35-052-2,399565.5293188103,4715109.220772212,,2026-04-27T21:32:25.655679+00:00
839,0.2,not_mound,not_mound,K-35-052-2_x3024_y336.png,K-35-052-2,413568.23079321376,4721799.272426876,,2026-04-28T00:43:50.796652+00:00
841,0.8,mound,burial_mound,K-35-052-2_x336_y0.png,K-35-052-2,400369.17862989573,4722807.063193461,200.0,2026-04-28T00:32:49.038987+00:00
853,0.2,not_mound,not_mound,K-35-052-3_x0_y2016.png,K-35-052-3,376845.8559501018,4694478.612341492,,2026-04-28T00:43:52.301812+00:00
867,0.85,not_mound,not_mound,K-35-052-3_x0_y3024.png,K-35-052-3,376468.7237089133,4690851.8007067265,,2026-04-28T00:31:33.857637+00:00
873,0.15,mound,burial_mound,K-35-052-3_x1008_y2016.png,K-35-052-3,381701.32461716497,4696043.536780948,150.0,2026-04-28T00:47:42.828200+00:00
905,0.15,not_mound,not_mound,K-35-052-3_x2016_y2688.png,K-35-052-3,387489.7581739711,4692573.491928175,,2026-04-28T00:47:44.363604+00:00
928,0.95,not_mound,not_mound,K-35-052-3_x2016_y2352.png,K-35-052-3,386734.2301895976,4693679.371508271,,2026-04-28T00:28:35.357203+00:00
930,0.75,not_mound,not_mound,K-35-052-2_x672_y672.png,K-35-052-2,401605.5640496237,4720169.026939835,,2026-04-28T00:32:58.005184+00:00
932,0.4,mound,burial_mound,K-35-052-3_x2352_y0.png,K-35-052-3,388315.21241805365,4704555.108162019,200.0,2026-04-28T00:33:51.457133+00:00
955,0.15,not_mound,not_mound,K-35-052-3_x3024_y3360.png,K-35-052-3,392992.86027823295,4688051.478729756,,2026-04-28T00:47:45.595369+00:00
983,0.4,mound,burial_mound,K-35-052-3_x3024_y1008.png,K-35-052-3,391744.71812811185,4700892.537111437,200.0,2026-04-28T00:33:54.358578+00:00
994,0.2,not_mound,not_mound,K-35-052-3_x3360_y2016.png,K-35-052-3,394693.53372537845,4694743.18024932,,2026-04-28T00:43:55.365608+00:00
1036,1.0,mound,burial_mound,K-35-052-3_x3696_y2352.png,K-35-052-3,396171.1431236468,4693948.080978717,50.0,2026-04-27T21:32:27.641434+00:00
1040,0.2,not_mound,not_mound,K-35-053-1_x0_y336.png,K-35-053-1,418047.068018406,4721690.4618872,,2026-04-28T00:43:56.654364+00:00
1072,1.0,not_mound,not_mound,K-35-052-3_x4032_y1344.png,K-35-052-3,396794.7842888847,4697788.864870404,,2026-04-27T21:32:29.000518+00:00
1106,0.85,not_mound,not_mound,K-35-053-1_x2688_y2016.png,K-35-053-1,431593.5065618864,4713205.974099048,,2026-04-28T00:31:35.749408+00:00
1117,0.95,mound,settlement_mound,K-35-053-1_x2688_y672.png,K-35-053-1,432985.77620788285,4720484.631797682,50.0,2026-04-28T00:28:37.407083+00:00
1165,1.0,mound,burial_mound,K-35-053-1_x3696_y672.png,K-35-053-1,437344.5574106822,4719377.461719206,50.0,2026-04-27T21:32:30.313044+00:00
1166,0.15,not_mound,not_mound,K-35-053-1_x672_y2016.png,K-35-053-1,422244.74835407635,4713315.588654882,,2026-04-28T00:47:47.292837+00:00
1208,0.4,not_mound,not_mound,K-35-053-2_x1008_y2016.png,K-35-053-2,443754.5685756628,4712111.056118393,,2026-04-28T00:33:56.198896+00:00
1232,0.85,mound,burial_mound,K-35-053-2_x1680_y3024.png,K-35-053-2,448144.1496566479,4708413.967224633,75.0,2026-04-28T00:31:39.849854+00:00
1239,0.2,mound,burial_mound,K-35-053-2_x1680_y3360.png,K-35-053-2,448068.810432499,4705502.469036168,50.0,2026-04-28T00:43:58.107992+00:00
1278,0.95,not_mound,not_mound,K-35-053-2_x0_y3024.png,K-35-053-2,439263.4732827743,4707358.420130951,,2026-04-28T00:28:38.708757+00:00
1280,0.75,not_mound,not_mound,K-35-053-2_x1344_y3024.png,K-35-053-2,445850.6077823624,4707902.848201616,,2026-04-28T00:32:59.387032+00:00
1305,0.2,not_mound,not_mound,K-35-053-2_x3360_y2688.png,K-35-053-2,456370.8577203134,4709870.746238774,,2026-04-28T00:44:17.308570+00:00
1339,0.8,not_mound,not_mound,K-35-053-2_x3024_y2352.png,K-35-053-2,454675.00185146276,4711526.934483638,,2026-04-28T00:32:50.472548+00:00
1341,0.2,not_mound,not_mound,K-35-053-2_x4032_y1008.png,K-35-053-2,458654.5906082283,4718459.856079443,,2026-04-28T00:44:18.440264+00:00
1357,0.2,not_mound,not_mound,K-35-053-2_x4032_y1680.png,K-35-053-2,458611.83679325663,4715276.898161813,,2026-04-28T00:44:20.207199+00:00
1367,0.95,not_mound,not_mound,K-35-053-2_x3024_y3024.png,K-35-053-2,454641.5128763233,4707155.556018215,,2026-04-28T00:28:39.932915+00:00
1396,1.0,mound,burial_mound,K-35-053-4_Boyadzhik_x2016_y1680.png,K-35-053-4_Boyadzhik,450041.89869355364,4695751.152574769,50.0,2026-04-27T21:32:31.214542+00:00
1404,0.85,not_mound,not_mound,K-35-050-4_x1680_y1008.png,K-35-050-4,324077.125327167,4701500.324076411,,2026-04-28T00:31:41.781352+00:00
1410,1.0,mound,trig_point_on_mound,K-35-053-4_Boyadzhik_x2352_y1344.png,K-35-053-4_Boyadzhik,450645.74023415777,4697002.315655016,50.0,2026-04-27T21:32:32.614277+00:00
1438,1.0,mound,bench_mark_on_mound,K-35-053-4_Boyadzhik_x3024_y1680.png,K-35-053-4_Boyadzhik,455124.5519721065,4695573.983179494,50.0,2026-04-27T21:32:34.469428+00:00
1439,0.95,mound,burial_mound,K-35-053-4_Boyadzhik_x2688_y672.png,K-35-053-4_Boyadzhik,453153.9979206912,4701330.492000843,50.0,2026-04-28T00:28:41.120355+00:00
1461,1.0,mound,trig_point_on_mound,K-35-053-4_Boyadzhik_x3360_y1344.png,K-35-053-4_Boyadzhik,455340.1687755822,4697354.826187073,50.0,2026-04-27T21:32:35.650603+00:00
1468,1.0,not_mound,not_mound,K-35-053-4_Boyadzhik_x3024_y0.png,K-35-053-4_Boyadzhik,454840.01235715207,4704484.774174471,,2026-04-27T21:32:37.776974+00:00
1535,0.95,mound,burial_mound,K-35-053-4_Boyadzhik_x672_y1680.png,K-35-053-4_Boyadzhik,442086.6814226439,4695908.372781011,50.0,2026-04-28T00:28:42.069247+00:00
