candidate_id,verifier_probability,human_label,symbol_type,source_tile,map_name,x,y,buffer_metres,timestamp
20,1.0,mound,burial_mound,K-35-050-4_x1008_y672.png,K-35-050-4,321193.0665061431,4702906.5950301755,75,2026-06-06T12:54:30.916993+00:00
103,0.2,mound,burial_mound,K-35-051-3_x0_y2016.png,K-35-051-3,336286.367778293,4696959.708819725,75,2026-06-06T12:56:35.769762+00:00
159,1.0,mound,burial_mound,K-35-051-3_x672_y2352.png,K-35-051-3,339698.71659726196,4693585.462887018,50,2026-06-06T12:54:32.801532+00:00
374,1.0,mound,burial_mound,K-35-053-2_x1680_y3360.png,K-35-053-2,448099.25281033595,4705496.689957302,50,2026-06-06T12:54:34.319299+00:00
475,1.0,mound,burial_mound,K-35-054-1_Straldzha_4326_x3696_y336.png,K-35-054-1_Straldzha_4326,478793.01251224,4721282.2884862665,75,2026-06-06T12:54:37.815331+00:00
476,1.0,mound,burial_mound,K-35-054-1_Straldzha_4326_x3696_y336.png,K-35-054-1_Straldzha_4326,477824.1599102387,4720991.167789535,100,2026-06-06T12:54:42.182506+00:00
522,0.3,mound,burial_mound,K-35-054-3_Yambol_x2016_y1008.png,K-35-054-3_Yambol,469107.1158041218,4698595.202902234,125,2026-06-06T12:56:29.690156+00:00
724,1.0,mound,burial_mound,K-35-055-3_x2016_y1008.png,K-35-055-3,511589.04921110335,4698469.086084116,200,2026-06-06T12:54:45.741675+00:00
817,1.0,mound,burial_mound,K-35-062-4_Asenovgrad_4326_x1680_y2352.png,K-35-062-4_Asenovgrad_4326,321980.50712968025,4658707.089153555,50,2026-06-06T12:54:47.001354+00:00
870,1.0,mound,burial_mound,K-35-063-1_Granit_4326_x1680_y1008.png,K-35-063-1_Granit_4326,344434.0486177363,4683225.532189321,50,2026-06-06T12:54:47.933863+00:00
1052,0.2,mound,burial_mound,K-35-063-4_Skobelevo_4326_x2352_y2016.png,K-35-063-4_Skobelevo_4326,367495.6149770747,4658895.7135451585,50,2026-06-06T12:56:36.898439+00:00
1064,1.0,mound,burial_mound,K-35-064-1_Sredets_4326_x1008_y2352.png,K-35-064-1_Sredets_4326,380771.07036676415,4674442.608206035,75,2026-06-06T12:54:52.281099+00:00
1093,1.0,mound,bench_mark_on_mound,K-35-064-1_Sredets_4326_x1680_y2016.png,K-35-064-1_Sredets_4326,385789.19799088483,4677546.409964625,50,2026-06-06T12:54:54.475562+00:00
1255,0.2,mound,burial_mound,K-35-065-1_Radetski_4326_x1344_y1680.png,K-35-065-1_Radetski_4326,424090.05761831906,4678284.284499966,200,2026-06-06T12:56:39.421006+00:00
1444,1.0,mound,burial_mound,K-35-066-2_x2688_y3360.png,K-35-066-2,494273.3854301103,4668232.924593629,200,2026-06-06T12:54:58.471702+00:00
1447,0.85,mound,burial_mound,K-35-066-2_x2352_y1680.png,K-35-066-2,492441.5536962876,4676565.674962197,200,2026-06-06T12:55:47.449220+00:00
1470,0.75,mound,bench_mark_on_mound,K-35-066-1_x3360_y3360.png,K-35-066-1,476964.77969892044,4668325.745573984,75,2026-06-06T12:56:21.112376+00:00
1602,1.0,mound,burial_mound,K-35-067-1_x3696_y3360.png,K-35-067-1,520274.21126455953,4668483.48159155,75,2026-06-06T12:55:06.315802+00:00
1774,0.95,mound,burial_mound,K-35-067-4_x3360_y1680.png,K-35-067-4,537789.8364419058,4658882.150215887,50,2026-06-06T12:55:32.103594+00:00
1975,0.85,mound,burial_mound,K-35-067-1_x2352_y2016.png,K-35-067-1,512490.6321861828,4675778.14804023,200,2026-06-06T12:55:51.471608+00:00
2079,1.0,mound,burial_mound,K-35-075-2_x1344_y1008.png,K-35-075-2,363087.04317343584,4644907.664820694,75,2026-06-06T12:55:09.198371+00:00
2132,0.85,mound,burial_mound,K-35-075-2_x672_y2688.png,K-35-075-2,359359.2355621756,4637063.009128444,100,2026-06-06T12:55:54.688857+00:00
2133,0.85,mound,burial_mound,K-35-075-2_x672_y2688.png,K-35-075-2,359424.0107709722,4637064.062698112,50,2026-06-06T12:55:56.159875+00:00
2197,0.85,mound,burial_mound,K-35-075-3_x4032_y1008.png,K-35-075-3,353989.28089927905,4627529.857288097,50,2026-06-06T12:55:57.226468+00:00
2329,1.0,mound,burial_mound,K-35-076-2_x1344_y1008.png,K-35-076-2,403548.45860202925,4643666.729417802,50,2026-06-06T12:55:10.373469+00:00
2336,0.95,mound,burial_mound,K-35-076-2_x1344_y1008.png,K-35-076-2,403560.3763852355,4643665.1239992,50,2026-06-06T12:55:33.018922+00:00
2519,0.85,mound,burial_mound,K-35-077-2_x0_y1344.png,K-35-077-2,437907.42426646326,4643194.044593299,50,2026-06-06T12:55:58.524442+00:00
2610,1.0,mound,burial_mound,K-35-077-2_x336_y3024.png,K-35-077-2,439444.1709469391,4632967.933136863,200,2026-06-06T12:55:13.459893+00:00
2801,0.2,mound,burial_mound,K-35-042-3_x672_y0.png,K-35-042-3,462553.1181631834,4742062.527269201,200,2026-06-06T12:56:43.494678+00:00
2881,0.85,mound,burial_mound,K-35-052-3_x3024_y1008.png,K-35-052-3,391743.63626025757,4700902.3277922785,200,2026-06-06T12:56:01.188249+00:00
3125,0.95,mound,burial_mound,K-35-063-1_Granit_4326_x2352_y3360.png,K-35-063-1_Granit_4326,346371.47514585336,4670946.617216177,100,2026-06-06T12:55:36.441882+00:00
3188,1.0,mound,burial_mound,K-35-064-1_Sredets_4326_x0_y1680.png,K-35-064-1_Sredets_4326,377178.7729594635,4678568.805193908,50,2026-06-06T12:55:16.240846+00:00
3194,1.0,mound,burial_mound,K-35-064-1_Sredets_4326_x2352_y1680.png,K-35-064-1_Sredets_4326,389191.99401827325,4678613.036198754,50,2026-06-06T12:55:17.205489+00:00
3200,0.2,mound,bench_mark_on_mound,K-35-063-4_Skobelevo_4326_x2688_y3360.png,K-35-063-4_Skobelevo_4326,369982.8386436575,4651331.682097457,125,2026-06-06T12:56:51.371068+00:00
3230,0.95,mound,bench_mark_on_mound,K-35-064-2_Radnevo_4326_x3360_y2016.png,K-35-064-2_Radnevo_4326,414538.73821831343,4676922.388300134,150,2026-06-06T12:55:41.330398+00:00
