candidate_id,inherited_human_label,inherited_symbol_type,dist_m,verifier_probability,source_tile,centroid_x,centroid_y
1221,not_mound,not_mound,0.53,1.0,K-35-076-4_x336_y2352.png,399295.22906838654,4618355.832225483
1413,mound,burial_mound,0.56,1.0,K-35-052-3_x672_y3360.png,381118.56257136684,4688525.334420934
1184,mound,trig_point_on_mound,0.67,1.0,K-35-076-2_x336_y672.png,398933.71881453035,4646327.289787279
1563,mound,burial_mound,1.95,1.0,K-35-063-1_Granit_4326_x3360_y2352.png,351898.6134324678,4676323.089889479
1865,mound,burial_mound,2.25,1.0,K-35-075-2_x1344_y1680.png,362137.8388767885,4641980.663944192
1618,mound,burial_mound,2.73,1.0,K-35-064-2_Radnevo_4326_x1008_y2352.png,402017.2794375014,4674943.768327684
1052,mound,burial_mound,2.95,1.0,K-35-075-1_x672_y1008.png,338798.4701178747,4644958.21569198
1094,mound,burial_mound,3.0,0.2,K-35-075-4_x0_y672.png,356023.2431724813,4628982.981674416
573,not_mound,not_mound,3.11,1.0,K-35-064-3_Dimitrovgrad_4326_x1344_y3024.png,383142.188590064,4652755.051305021
596,not_mound,not_mound,3.19,0.2,K-35-064-4_Galabovo_4326_x3696_y1008.png,414961.21909139433,4663314.382759026
608,not_mound,not_mound,3.22,0.75,K-35-065-1_Radetski_4326_x3024_y672.png,433114.77144374035,4683623.61497596
1173,mound,trig_point_on_mound,3.48,0.4,K-35-076-2_x336_y1008.png,398102.5088614712,4643527.851606334
639,mound,burial_mound,3.51,0.15,K-35-065-3_Glavan_4326_x0_y2016.png,418507.25534286664,4658033.588985904
243,mound,burial_mound,4.05,0.95,K-35-054-1_Straldzha_4326_x0_y1344.png,460429.07973453775,4716533.324676958
1601,mound,burial_mound,4.12,1.0,K-35-063-4_Skobelevo_4326_x336_y2688.png,357961.44923413725,4656047.8524074545
260,mound,burial_mound,4.2,1.0,K-35-054-2_Atolov_4326_x1680_y3696.png,488685.29845241393,4705294.0488691265
138,not_mound,not_mound,4.28,0.2,K-35-052-3_x2016_y3360.png,387686.9075978939,4688737.944824605
