gt_id,layer,source_id_lossy,source_map,symbol_type,confidence_grade,position_source,provenance,x,y
student:00000,student_reviewed,1000081538111814e3,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,462544.645,4742254.581
student:00001,student_reviewed,1000081538111851800,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,462577.432,4742015.149
student:00002,student_reviewed,1000081538111899e3,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,463761.706,4742328.048
student:00003,student_reviewed,1000081538112051700,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,473627.686,4742088.300
student:00004,student_reviewed,1000081538112216600,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,475594.903,4741161.127
student:00005,student_reviewed,1000081538112258700,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,474975.999,4741574.176
student:00006,student_reviewed,1000081538113038e3,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,471913.235,4740670.141
student:00007,student_reviewed,1000081538113281e3,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,467949.434,4739789.243
student:00008,student_reviewed,1000081538115701e3,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,477654.012,4735993.518
student:00009,student_reviewed,1000081538116450700,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,475200.360,4733954.150
student:00010,student_reviewed,1000081538116552800,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,477900.414,4734104.091
student:00011,student_reviewed,1000081538116660200,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,474131.787,4733325.048
student:00012,student_reviewed,1000081538117268600,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,471410.927,4732276.433
student:00013,student_reviewed,1000081538117817300,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,466440.169,4731621.483
student:00014,student_reviewed,1000081538119462700,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,473260.547,4728841.794
student:00015,student_reviewed,1000081538120509400,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,466477.446,4726719.319
student:00016,student_reviewed,1000081538120844200,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,471623.276,4725878.840
student:00017,student_reviewed,1000081538120893e3,K-35-042-3,Mound,as_digitised,as_digitised,student_digitised,471525.132,4725567.011
student:00018,student_reviewed,merged-K-35-050-4_c03487,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,331060.866,4702222.090
student:00019,student_reviewed,merged-K-35-050-4_c03653,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,318510.936,4693888.318
student:00020,student_reviewed,merged-K-35-050-4_c03655,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,318768.806,4693922.999
student:00021,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,319332.731,4705036.544
student:00022,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,319775.571,4705040.731
student:00023,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,333354.636,4705020.609
student:00024,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,334429.044,4706466.405
student:00025,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,330395.442,4704874.472
student:00026,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,329625.895,4703102.712
student:00027,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,329169.839,4703061.519
student:00028,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,328962.050,4703417.621
student:00029,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,328853.484,4703060.476
student:00030,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,328800.005,4703035.557
student:00031,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,327220.797,4704163.658
student:00032,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,326936.150,4705044.633
student:00033,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,326343.163,4704199.817
student:00034,student_reviewed,100005e13,K-35-050-4,Mound,as_digitised,as_digitised,student_digitised,321168.402,4702976.378
