gt_id,layer,symbol_code,source_map,symbol_type,confidence_grade,position_source,provenance,x,y
student:00000,student_standardised,1000081538111814e3,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,462544.645,4742254.581
student:00001,student_standardised,1000081538111851800,K-35-042-3,burial_mound,directly_reviewed,own_mark,student_digitised,462573.231,4742020.466
student:00002,student_standardised,1000081538111899e3,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,463761.706,4742328.048
student:00003,student_standardised,1000081538112051700,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,473627.686,4742088.300
student:00004,student_standardised,1000081538112216600,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,475594.903,4741161.127
student:00005,student_standardised,1000081538112258700,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,474975.999,4741574.176
student:00006,student_standardised,1000081538113038e3,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,471913.235,4740670.141
student:00007,student_standardised,1000081538113281e3,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,467949.434,4739789.243
student:00008,student_standardised,1000081538115701e3,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,477654.012,4735993.518
student:00009,student_standardised,1000081538116450700,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,475200.360,4733954.150
student:00010,student_standardised,1000081538116552800,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,477900.414,4734104.091
student:00011,student_standardised,1000081538116660200,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,474131.787,4733325.048
student:00012,student_standardised,1000081538117268600,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,471410.927,4732276.433
student:00013,student_standardised,1000081538117817300,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,466440.169,4731621.483
student:00014,student_standardised,1000081538119462700,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,473260.547,4728841.794
student:00015,student_standardised,1000081538120509400,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,466477.446,4726719.319
student:00016,student_standardised,1000081538120844200,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,471623.276,4725878.840
student:00017,student_standardised,1000081538120893e3,K-35-042-3,burial_mound,out_of_scope,as_digitised,student_digitised,471525.132,4725567.011
student:00018,student_standardised,merged-K-35-050-4_c03487,K-35-050-4,burial_mound,directly_reviewed,own_mark,student_digitised,331050.377,4702231.783
student:00019,student_standardised,merged-K-35-050-4_c03653,K-35-050-4,burial_mound,directly_reviewed,own_mark,student_digitised,318496.830,4693897.978
student:00020,student_standardised,merged-K-35-050-4_c03655,K-35-050-4,bench_mark_on_mound,directly_reviewed,own_mark,student_digitised,318762.875,4693931.477
student:00021,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,319332.731,4705036.544
student:00022,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,319775.571,4705040.731
student:00023,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,333354.636,4705020.609
student:00024,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,334429.044,4706466.405
student:00025,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,330395.442,4704874.472
student:00026,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,329625.895,4703102.712
student:00027,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,329169.839,4703061.519
student:00028,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,328962.050,4703417.621
student:00029,student_standardised,100005e13,K-35-050-4,burial_mound,directly_reviewed,own_mark,student_digitised,328853.160,4703072.438
student:00030,student_standardised,100005e13,K-35-050-4,burial_mound,directly_reviewed,own_mark,student_digitised,328800.469,4703039.361
student:00031,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,327220.797,4704163.658
student:00032,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,326936.150,4705044.633
student:00033,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,326343.163,4704199.817
student:00034,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,321168.402,4702976.378
student:00035,student_standardised,100005e13,K-35-050-4,burial_mound,proxy_confirmed,claimant_mark,student_digitised,319362.540,4704136.181
student:00036,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,317163.493,4702755.516
student:00037,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,320069.160,4701988.291
student:00038,student_standardised,100005e13,K-35-050-4,burial_mound,directly_reviewed,own_mark,student_digitised,321130.337,4702901.042
student:00039,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,321365.783,4702408.024
student:00040,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,326017.544,4702125.263
student:00041,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,327891.070,4702115.053
student:00042,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,327826.607,4701590.894
student:00043,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,329394.111,4701123.361
student:00044,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,329928.249,4701465.016
student:00045,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,329514.847,4701440.767
student:00046,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,329490.626,4701864.230
student:00047,student_standardised,100005e13,K-35-050-4,burial_mound,out_of_scope,as_digitised,student_digitised,329121.638,4702142.311
student:00048,student_standardised,100005e13,K-35-050-4,burial_mound,directly_reviewed,own_mark,student_digitised,329370.213,4702454.726
student:00049,student_standardised,100005e13,K-35-050-4,burial_mound,directly_reviewed,own_mark,student_digitised,329342.291,4702510.283
