candidate_id,human_label,buffer_metres,x,y,map_name
0,mound,50,322769.12281904556,4690845.637568707,K-35-050-4
1,mound,50,477832.3181197375,4727158.660135224,K-35-042-3
2,mound,50,334910.77119240654,4688978.066465826,K-35-050-4
3,mound,75,335901.35125099437,4691125.095688898,K-35-051-3
4,mound,50,338634.395872549,4698651.038544204,K-35-051-3
5,mound,50,363183.50388242316,4701467.592736447,K-35-051-4
6,mound,50,376112.4767817109,4688363.374051492,K-35-051-4
7,mound,50,410767.5233057164,4708199.59707505,K-35-052-2
8,mound,50,407931.98095370096,4708880.239759713,K-35-052-2
9,mound,50,396171.1552858995,4693952.597377411,K-35-052-3
10,mound,50,432984.5902692997,4720483.532732221,K-35-053-1
11,mound,50,420815.00324412837,4711548.0107046105,K-35-053-1
12,mound,50,448087.3681123597,4705497.972237923,K-35-053-2
13,mound,50,440069.00779154385,4719300.865342047,K-35-053-2
14,mound,50,450645.7901107031,4697001.612029184,K-35-053-4_Boyadzhik
15,mound,50,450044.36077715916,4695750.246632583,K-35-053-4_Boyadzhik
16,mound,50,455341.48046715365,4697354.11453493,K-35-053-4_Boyadzhik
17,mound,50,455128.7119326075,4695572.549943693,K-35-053-4_Boyadzhik
18,mound,50,457441.6467380968,4690325.466850588,K-35-053-4_Boyadzhik
19,mound,50,442086.18835544074,4695908.450896829,K-35-053-4_Boyadzhik
20,mound,50,442572.23934484366,4695443.121945407,K-35-053-4_Boyadzhik
21,mound,50,460426.1720920166,4716531.749610429,K-35-054-1_Straldzha_4326
22,mound,50,467198.6723874764,4706930.135152716,K-35-054-1_Straldzha_4326
23,mound,50,453152.7873781556,4701329.796854266,K-35-053-4_Boyadzhik
24,mound,50,468688.0324043914,4711597.1925192,K-35-054-1_Straldzha_4326
25,mound,50,468104.9696444536,4711256.943824422,K-35-054-1_Straldzha_4326
26,mound,50,468175.8496504513,4711305.144572903,K-35-054-1_Straldzha_4326
27,mound,50,465647.7039484841,4711429.620851791,K-35-054-1_Straldzha_4326
28,mound,50,460041.55056489835,4719067.697602658,K-35-054-1_Straldzha_4326
29,mound,50,465755.75543915917,4708489.908873764,K-35-054-1_Straldzha_4326
30,mound,50,465611.29626826826,4711427.320821442,K-35-054-1_Straldzha_4326
31,mound,75,470670.4464168664,4713673.08566023,K-35-054-1_Straldzha_4326
