order_index,tile_name,map_name,tier,verdict,mark_index,x_px,y_px,x_world,y_world,symbol,note,reviewed_at,pass_id
0,K-35-056-3_x3696_y672.png,K-35-056-3,10pct,no_mounds,0,,,,,,,2026-09-01T03:05:57.263877+00:00,20260901T030557263892
1,K-35-065-2_GManastir_4326_x1680_y2016.png,K-35-065-2_GManastir_4326,10pct,no_mounds,0,,,,,,,2026-09-01T03:06:01.611220+00:00,20260901T030601611233
2,K-35-077-1_x672_y336.png,K-35-077-1,10pct,no_mounds,0,,,,,,,2026-09-01T03:06:07.414224+00:00,20260901T030607414236
3,K-35-067-3_x2688_y3024.png,K-35-067-3,10pct,no_mounds,0,,,,,,,2026-09-01T03:06:10.336242+00:00,20260901T030610336252
4,K-35-066-3_x2688_y3696.png,K-35-066-3,10pct,no_mounds,0,,,,,,,2026-09-01T03:06:15.199852+00:00,20260901T030615199863
5,K-35-066-2_x3696_y672.png,K-35-066-2,10pct,no_mounds,0,,,,,,,2026-09-01T03:06:28.658058+00:00,20260901T030628658073
6,K-35-051-4_x3360_y672.png,K-35-051-4,10pct,no_mounds,0,,,,,,,2026-09-01T03:06:59.035898+00:00,20260901T030659035911
7,K-35-074-1_x1680_y0.png,K-35-074-1,10pct,no_mounds,0,,,,,,,2026-09-01T03:07:07.314556+00:00,20260901T030707314567
8,K-35-064-1_Sredets_4326_x3024_y672.png,K-35-064-1_Sredets_4326,10pct,no_mounds,0,,,,,,,2026-09-01T03:07:14.726373+00:00,20260901T030714726385
9,K-35-074-4_x672_y1344.png,K-35-074-4,10pct,no_mounds,0,,,,,,,2026-09-01T03:07:24.800422+00:00,20260901T030724800437
10,K-35-074-1_x2688_y3360.png,K-35-074-1,10pct,no_mounds,0,,,,,,,2026-09-01T03:07:36.552791+00:00,20260901T030736552806
11,K-35-054-4_Voynika_x1008_y1344.png,K-35-054-4_Voynika,10pct,no_mounds,0,,,,,,,2026-09-01T03:07:43.340541+00:00,20260901T030743340553
12,K-35-074-4_x2688_y2688.png,K-35-074-4,10pct,no_mounds,0,,,,,,,2026-09-01T03:07:57.089851+00:00,20260901T030757089863
13,K-35-074-2_x2688_y3024.png,K-35-074-2,10pct,no_mounds,0,,,,,,,2026-09-01T03:08:11.325035+00:00,20260901T030811325048
14,K-35-077-2_x3024_y2352.png,K-35-077-2,10pct,no_mounds,0,,,,,,,2026-09-01T03:08:21.865546+00:00,20260901T030821865561
15,K-35-076-2_x672_y2352.png,K-35-076-2,10pct,no_mounds,0,,,,,,,2026-09-01T03:08:29.486302+00:00,20260901T030829486315
16,K-35-055-3_x3024_y3024.png,K-35-055-3,10pct,no_mounds,0,,,,,,,2026-09-01T03:08:40.727596+00:00,20260901T030840727608
17,K-35-075-3_x0_y3024.png,K-35-075-3,10pct,no_mounds,0,,,,,,,2026-09-01T03:08:51.384505+00:00,20260901T030851384524
18,K-35-064-4_Galabovo_4326_x2688_y3024.png,K-35-064-4_Galabovo_4326,10pct,no_mounds,0,,,,,,,2026-09-01T03:09:17.844131+00:00,20260901T030917844142
19,K-35-074-4_x1344_y2016.png,K-35-074-4,10pct,no_mounds,0,,,,,,,2026-09-01T03:09:43.258119+00:00,20260901T030943258147
20,K-35-074-3_x1008_y1008.png,K-35-074-3,10pct,no_mounds,0,,,,,,,2026-09-01T03:09:58.810761+00:00,20260901T030958810773
21,K-35-074-3_x3360_y3696.png,K-35-074-3,10pct,no_mounds,0,,,,,,,2026-09-01T03:10:03.288857+00:00,20260901T031003288869
22,K-35-074-4_x336_y3024.png,K-35-074-4,10pct,no_mounds,0,,,,,,,2026-09-01T03:10:28.575448+00:00,20260901T031028575462
23,K-35-063-2_Chirpan_4326_x2016_y1680.png,K-35-063-2_Chirpan_4326,10pct,no_mounds,0,,,,,,,2026-09-01T03:10:54.603896+00:00,20260901T031054603908
24,K-35-051-4_x4032_y672.png,K-35-051-4,10pct,no_mounds,0,,,,,,,2026-09-01T03:11:00.414139+00:00,20260901T031100414156
25,K-35-052-3_x0_y1008.png,K-35-052-3,10pct,no_mounds,0,,,,,,,2026-09-01T03:11:13.876542+00:00,20260901T031113876555
26,K-35-067-4_x4032_y1344.png,K-35-067-4,10pct,no_mounds,0,,,,,,,2026-09-01T03:11:19.415452+00:00,20260901T031119415464
27,K-35-056-3_x1344_y0.png,K-35-056-3,10pct,no_mounds,0,,,,,,,2026-09-01T03:11:22.743392+00:00,20260901T031122743404
