candidate_id,verifier_probability,human_label,symbol_type,source_tile,map_name,x,y,buffer_metres,timestamp
0,0.85,not_mound,not_mound,K-35-042-3_x0_y0.png,K-35-042-3,459817.1503967219,4741873.280865848,,2026-06-06T07:28:14.484426+00:00
1,1.0,mound,burial_mound,K-35-042-3_x2352_y0.png,K-35-042-3,471795.2139043019,4740526.125397839,200.0,2026-06-06T07:24:58.389998+00:00
2,0.2,not_mound,not_mound,K-35-042-3_x2352_y3024.png,K-35-042-3,471742.3354581943,4726227.346226979,,2026-06-06T07:29:21.126324+00:00
3,0.95,mound,bench_mark_on_mound,K-35-050-4_x336_y2016.png,K-35-050-4,316437.7796734636,4696788.410944859,150.0,2026-06-06T07:27:36.971935+00:00
4,1.0,mound,burial_mound,K-35-051-3_x0_y1344.png,K-35-051-3,336663.1854516502,4699500.057305117,200.0,2026-06-06T07:25:10.307945+00:00
5,0.7,not_mound,not_mound,K-35-051-4_x1008_y672.png,K-35-051-4,360838.6346489689,4703184.258110808,,2026-06-06T07:28:32.743594+00:00
6,1.0,not_mound,not_mound,K-35-051-4_x1008_y672.png,K-35-051-4,361595.1504907584,4701718.977647945,,2026-06-06T07:25:15.983181+00:00
7,0.2,not_mound,not_mound,K-35-051-4_x3360_y672.png,K-35-051-4,373042.8681148748,4702325.048168991,,2026-06-06T07:29:26.405380+00:00
8,0.95,not_mound,not_mound,K-35-051-4_x4032_y3360.png,K-35-051-4,375973.6015331444,4688612.081718864,,2026-06-06T07:27:39.187096+00:00
9,1.0,not_mound,not_mound,K-35-051-4_x2016_y3024.png,K-35-051-4,366526.135595359,4690347.266419606,,2026-06-06T07:25:17.710443+00:00
10,0.2,not_mound,not_mound,K-35-052-2_x1344_y2352.png,K-35-052-2,404288.42047164857,4711422.233900687,,2026-06-06T07:29:28.051770+00:00
11,1.0,not_mound,not_mound,K-35-052-3_x1008_y672.png,K-35-052-3,382934.55957224994,4702214.128914308,,2026-06-06T07:25:19.050780+00:00
12,0.85,mound,burial_mound,K-35-052-3_x1008_y2016.png,K-35-052-3,381934.0866793936,4695949.855224128,200.0,2026-06-06T07:28:17.277543+00:00
13,1.0,not_mound,not_mound,K-35-053-2_x2352_y2352.png,K-35-053-2,450412.1212434321,4711217.665912652,,2026-06-06T07:25:20.334061+00:00
14,0.3,mound,burial_mound,K-35-053-2_x2352_y336.png,K-35-053-2,450837.969196837,4721054.697409463,100.0,2026-06-06T07:29:04.049898+00:00
