candidate_id,x,y,map_name,symbol_type,confidence_grade,position_source,provenance,nearest_student_m
extra:nested-benchmark-3207,465665.167,4675879.27,K-35-066-1,bench_mark_on_mound,directly_reviewed,own_mark,marking_pass_extra,15.48
0,322769.119,4690842.788,K-35-050-4,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,469.38
1,477828.496,4727146.12,K-35-042-3,burial_mound,directly_reviewed,own_mark,model_detection,4872.52
10,432995.312,4720486.906,K-35-053-1,settlement_mound,directly_reviewed,own_mark,model_detection,1210.21
101,353318.663,4684404.88,K-35-063-1_Granit_4326,burial_mound,directly_reviewed,own_mark,model_detection,637.2
103,355197.911,4684473.6,K-35-063-1_Granit_4326,burial_mound,directly_reviewed,own_mark,model_detection,864.07
104,355205.283,4684316.106,K-35-063-1_Granit_4326,burial_mound,directly_reviewed,own_mark,model_detection,745.75
105,354945.468,4684223.147,K-35-063-1_Granit_4326,burial_mound,directly_reviewed,own_mark,model_detection,909.34
106,354889.141,4684434.348,K-35-063-1_Granit_4326,burial_mound,directly_reviewed,own_mark,model_detection,1066.86
11,420817.111,4711536.747,K-35-053-1,burial_mound,directly_reviewed,own_mark,model_detection,2391.33
117,364525.49,4660666.796,K-35-063-4_Skobelevo_4326,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,182.78
118,355724.489,4658638.26,K-35-063-4_Skobelevo_4326,trig_point_on_mound,directly_reviewed,own_mark,model_detection,2088.9
119,367371.638,4658924.068,K-35-063-4_Skobelevo_4326,burial_mound,directly_reviewed,own_mark,model_detection,920.16
12,448071.196,4705499.375,K-35-053-2,burial_mound,directly_reviewed,own_mark,model_detection,868.14
120,367469.515,4658829.202,K-35-063-4_Skobelevo_4326,burial_mound,directly_reviewed,own_mark,model_detection,814.28
121,367007.861,4658772.005,K-35-063-4_Skobelevo_4326,burial_mound,directly_reviewed,own_mark,model_detection,915.44
127,384956.066,4669241.264,K-35-064-1_Sredets_4326,trig_point_on_mound,directly_reviewed,own_mark,model_detection,611.07
128,385944.548,4677725.694,K-35-064-1_Sredets_4326,burial_mound,directly_reviewed,own_mark,model_detection,548.55
13,440068.803,4719305.033,K-35-053-2,burial_mound,directly_reviewed,own_mark,model_detection,2504.56
130,380598.375,4674572.173,K-35-064-1_Sredets_4326,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,177.53
131,394906.044,4670674.945,K-35-064-1_Sredets_4326,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,616.75
132,395022.287,4670558.406,K-35-064-1_Sredets_4326,burial_mound,directly_reviewed,own_mark,model_detection,454.15
133,379835.371,4680373.343,K-35-064-1_Sredets_4326,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,615.88
134,401562.106,4670327.801,K-35-064-2_Radnevo_4326,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,159.88
136,402025.713,4674936.097,K-35-064-2_Radnevo_4326,burial_mound,directly_reviewed,own_mark,model_detection,794.56
137,402578.879,4679930.144,K-35-064-2_Radnevo_4326,trig_point_on_mound,directly_reviewed,own_mark,model_detection,2914.61
138,406715.779,4679728.776,K-35-064-2_Radnevo_4326,burial_mound,directly_reviewed,own_mark,model_detection,1108.46
139,405264.309,4680032.771,K-35-064-2_Radnevo_4326,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,926.89
14,450647.004,4696992.608,K-35-053-4_Boyadzhik,trig_point_on_mound,directly_reviewed,own_mark,model_detection,1461.19
140,410530.526,4684921.903,K-35-064-2_Radnevo_4326,settlement_mound,directly_reviewed,own_mark,model_detection,1949.77
141,412493.974,4685067.856,K-35-064-2_Radnevo_4326,trig_point_on_mound,directly_reviewed,own_mark,model_detection,1101.28
143,405146.704,4669766.885,K-35-064-2_Radnevo_4326,burial_mound,directly_reviewed,own_mark,model_detection,614.38
144,413663.328,4683564.726,K-35-064-2_Radnevo_4326,burial_mound,directly_reviewed,own_mark,model_detection,1666.86
145,414984.536,4673286.576,K-35-064-2_Radnevo_4326,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,2039.45
15,450034.371,4695744.872,K-35-053-4_Boyadzhik,burial_mound,directly_reviewed,own_mark,model_detection,2215.75
150,402451.543,4660690.495,K-35-064-4_Galabovo_4326,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,484.69
153,412183.321,4661126.102,K-35-064-4_Galabovo_4326,trig_point_on_mound,directly_reviewed,own_mark,model_detection,1533.22
154,426762.48,4678382.749,K-35-065-1_Radetski_4326,settlement_mound,directly_reviewed,own_mark,model_detection,1198.24
155,438113.774,4680939.525,K-35-065-2_GManastir_4326,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,1428.82
156,436760.914,4680124.196,K-35-065-1_Radetski_4326,burial_mound,directly_reviewed,own_mark,model_detection,1151.34
158,451569.066,4677745.39,K-35-065-2_GManastir_4326,burial_mound,directly_reviewed,own_mark,model_detection,149.87
16,455343.228,4697337.136,K-35-053-4_Boyadzhik,trig_point_on_mound,directly_reviewed,own_mark,model_detection,1778.63
160,428976.713,4663274.322,K-35-065-3_Glavan_4326,burial_mound,directly_reviewed,own_mark,model_detection,407.32
162,435089.532,4655864.725,K-35-065-3_Glavan_4326,burial_mound,directly_reviewed,own_mark,model_detection,875.47
163,434307.013,4655082.326,K-35-065-3_Glavan_4326,burial_mound,directly_reviewed,own_mark,model_detection,1538.67
164,434786.829,4655168.01,K-35-065-3_Glavan_4326,trig_point_on_mound,directly_reviewed,own_mark,model_detection,1127.91
165,420569.113,4656899.281,K-35-065-3_Glavan_4326,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,699.19
168,464756.943,4678015.511,K-35-066-1,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,1778.32
169,472042.627,4678903.946,K-35-066-1,burial_mound,directly_reviewed,own_mark,model_detection,1071.13
171,476004.195,4674945.965,K-35-066-1,burial_mound,directly_reviewed,own_mark,model_detection,87.16
172,477268.479,4677244.323,K-35-066-1,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,208.17
175,478819.165,4682044.443,K-35-066-1,burial_mound,directly_reviewed,own_mark,model_detection,759.14
176,497912.435,4679155.119,K-35-066-2,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,2065.04
178,458806.989,4653946.579,K-35-066-3,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,550.03
180,471766.09,4662227.827,K-35-066-3,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,1598.48
408,476985.38,4668283.682,K-35-066-1,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,393.5
183,500425.744,4685906.8,K-35-067-1,burial_mound,directly_reviewed,own_mark,model_detection,343.53
184,512115.948,4682717.93,K-35-067-1,burial_mound,directly_reviewed,own_mark,model_detection,1359.38
185,502338.471,4685581.142,K-35-067-1,burial_mound,directly_reviewed,own_mark,model_detection,1734.23
186,502669.155,4681934.003,K-35-067-1,burial_mound,directly_reviewed,own_mark,model_detection,1333.51
188,528160.763,4669567.312,K-35-067-2,burial_mound,directly_reviewed,own_mark,model_detection,60.32
189,532847.775,4670102.703,K-35-067-2,burial_mound,directly_reviewed,own_mark,model_detection,925.95
19,442087.184,4695908.332,K-35-053-4_Boyadzhik,burial_mound,directly_reviewed,own_mark,model_detection,1170.85
192,510025.328,4664527.715,K-35-067-3,burial_mound,directly_reviewed,own_mark,model_detection,1273.44
194,502320.638,4661841.25,K-35-067-3,burial_mound,directly_reviewed,own_mark,model_detection,1431.51
195,530801.406,4657522.514,K-35-067-4,burial_mound,directly_reviewed,own_mark,model_detection,702.62
196,538147.415,4660654.758,K-35-067-4,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,1557.96
197,530966.072,4657446.581,K-35-067-4,burial_mound,directly_reviewed,own_mark,model_detection,521.3
198,302475.242,4625866.72,K-35-074-3,burial_mound,directly_reviewed,own_mark,model_detection,3320.23
20,442575.002,4695440.845,K-35-053-4_Boyadzhik,burial_mound,directly_reviewed,own_mark,model_detection,1707.02
200,335593.012,4649825.459,K-35-075-1,bench_mark_on_mound,directly_reviewed,own_mark,model_detection,140.33
